method,outer_domain,inner_domain,pca_dimension,mae,fit_sample_count,query_sample_count,fit_domains,pca_state_sha256,ridge_state_sha256,state_sha256
dinov2_global,w68dtmpfyf,74t7kcdgkr,32,0.09926484847104859,188,45,"[""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",d967aae44f0395c52b5eaf7a1aeb6a05a21297e90b8239a88707ee65b814fde3,1167954d35c15c64080bdd805d98ab234ad4837387a4f763b56a75fa2dae08e5,7ee7a9f88daa41d7f70dad428273f46990a8e8d7044d69feb1efe2b94bf34e00
dinov2_global,w68dtmpfyf,cgtnjyggtm,8,0.18211819340477733,184,49,"[""74t7kcdgkr"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",0a1448c1f766017fe0c9e3c99245514ca933d3e4fbe4d6fe6df5f1086c614d14,2410bb5d818cdb2a55a41bd64ff0236730d62e5389158d54b8e743de18b6d80b,71f793dc77a7df40339f7733c996b8e2943246d42a36c56db53660e85518f8c9
dinov2_global,w68dtmpfyf,cgtnjyggtm,16,0.17943433579871806,184,49,"[""74t7kcdgkr"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",0a1448c1f766017fe0c9e3c99245514ca933d3e4fbe4d6fe6df5f1086c614d14,ed17ce8a882af047298d65c69f8954b29367efcb72bfd204d6ae0f2fd45d86b3,827552d637cc306537c4e3e97f7287d489dc3b27560c9f026b01ac5a31a932e3
dinov2_global,w68dtmpfyf,cgtnjyggtm,32,0.16733632970107074,184,49,"[""74t7kcdgkr"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",0a1448c1f766017fe0c9e3c99245514ca933d3e4fbe4d6fe6df5f1086c614d14,36018e97c19b7398c85cf12a0664063bfd3ce12b401e662e51e7bb1a4d9bf99a,d28182ba13f8a39a3b370a95e8a6cd64034fc0aaf2d1bb728d60a3f328a719d9
dinov2_global,w68dtmpfyf,xcmzfsbd9t,8,0.09896258093870451,174,59,"[""74t7kcdgkr"",""cgtnjyggtm"",""yfxyg8jm46"",""ykhs7s2dck""]",5aed828db37266e60b1d8808562dae965181c587abf58b2aa966151a8415821c,e43fbea3941d1e8bfe00b9d848958de2b550fd1b75e15aa6915ede83f16bdfa4,8552996fe88424377c455d364989998807dcceb9ef101907c992f536f6f9d3ad
dinov2_global,w68dtmpfyf,xcmzfsbd9t,16,0.08843581385655852,174,59,"[""74t7kcdgkr"",""cgtnjyggtm"",""yfxyg8jm46"",""ykhs7s2dck""]",5aed828db37266e60b1d8808562dae965181c587abf58b2aa966151a8415821c,663ce9ce783d4c722e34b656d4c8566a8e1d13273c3ff6e01e1b21446413ee5e,4a2c89e4afc3084b5d73133fc2efafaa855c095228d5091f0c52b536e941d309
dinov2_global,w68dtmpfyf,xcmzfsbd9t,32,0.08416861844837377,174,59,"[""74t7kcdgkr"",""cgtnjyggtm"",""yfxyg8jm46"",""ykhs7s2dck""]",5aed828db37266e60b1d8808562dae965181c587abf58b2aa966151a8415821c,4cd24ceb93e3fae907f6797ee6bc46cb19f520135282be5a3de80b21a4732087,e391a250174cb383eb6a702e103513a62c9fc59d19f5c1c3197017de6f260253
dinov2_global,w68dtmpfyf,yfxyg8jm46,8,0.14197253299663345,191,42,"[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""ykhs7s2dck""]",7665059d511fc572b281b8a53e706086eccbfa2043b7f22685c86c784aa99a9a,546633c38111b71ce546571eb0bbcb10cdccc0d449babdb9de2247724b32789e,645529bae93a6bf655b5dea47255c70aa254aa40d6626dc868d4c693f86b3534
dinov2_global,w68dtmpfyf,yfxyg8jm46,16,0.1394999011056031,191,42,"[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""ykhs7s2dck""]",7665059d511fc572b281b8a53e706086eccbfa2043b7f22685c86c784aa99a9a,4690f028c67295b2497b390f9ef867affd4c837115325832f5b7311adc90fb0c,f4b103a74e38e7cfde30958b9aab2529b0fbc84c2dabe5cc463416bfc647eced
dinov2_global,w68dtmpfyf,yfxyg8jm46,32,0.13352456180596808,191,42,"[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""ykhs7s2dck""]",7665059d511fc572b281b8a53e706086eccbfa2043b7f22685c86c784aa99a9a,d6d694a59afb9c2c6486cf1a96396b0f6406d22cf72d592ab4bed01c4d515f31,37bd4fa38d32dd32812f43634f9106bc379856cb6e2867443109922a37c306bd
dinov2_global,w68dtmpfyf,ykhs7s2dck,8,0.28553598475471337,195,38,"[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46""]",568fba7792e3ba0ecdda913fdbe714edaaf7e9c2e4e350154749b3277bae26bd,5bfe8c6f5c7049bb5f584c098c537074dfea7bdd21d4cce0e56c87e27f7a0a5f,29b4e93d42aafd62837dc9453438c4745ee4888ed980693686061f87f689d5a2
dinov2_global,w68dtmpfyf,ykhs7s2dck,16,0.3248805376696364,195,38,"[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46""]",568fba7792e3ba0ecdda913fdbe714edaaf7e9c2e4e350154749b3277bae26bd,59ace5c84f7a8f3a5754f377ba077485056807af4724d2f362191092db4a9f56,084e38f85306a7b4aad1a8fe6fbae235703f0f8953495a5129e70a14e633e10f
dinov2_global,w68dtmpfyf,ykhs7s2dck,32,0.29815846256389006,195,38,"[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46""]",568fba7792e3ba0ecdda913fdbe714edaaf7e9c2e4e350154749b3277bae26bd,225d27e173eb0976df993e2f201d8e29eca9c83559b258b492e140862ff3f8b1,8acaced1c15181947478298e5fbe9d7677fa7f6c0f3a99b67b485b2f4e13140e
dinov2_global,xcmzfsbd9t,74t7kcdgkr,8,0.17998035659242967,172,45,"[""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",06acd05b944a0544907d90a0e7cbd5be5340dd268941e0040b591fab0fccb521,980b4fb31acd572f7e27cad7075b131ef582a4c60220790f3c19d19797d21add,49f0ace8799a7a0c582b9c4367170bcd5055bb9c5a89320d58cacdedd5d42b48
dinov2_global,xcmzfsbd9t,74t7kcdgkr,16,0.15639701011403367,172,45,"[""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",06acd05b944a0544907d90a0e7cbd5be5340dd268941e0040b591fab0fccb521,efac54b0d809ef9c575a1e40584d3e5b3d88a1b6fc91833e8f8d310709cf7c73,cce2c934da825d793b1b026b96fb5bde3688163c011aa09e86240cacdc2fee47
dinov2_global,xcmzfsbd9t,74t7kcdgkr,32,0.13158063348932839,172,45,"[""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",06acd05b944a0544907d90a0e7cbd5be5340dd268941e0040b591fab0fccb521,7bfc8cd232c445f57e9540881d84de5c123202bfd57bf6d8e07270a8f696087f,0b51e97d8d757ef4d0402cdffcf1b063ce83eb4e6361228bb576ab359c5286c6
