schema_version,dataset_id,specimen_id,specimen_key,task,method,seed,reference_version,analysis_scope,comparator,diverged,common_prefix_action_count,first_divergence_step,bc_action,p8_action,bc_pre_divergence_cost,p8_pre_divergence_cost,bc_pre_divergence_success,p8_pre_divergence_success,divergence_before_either_s_bc_stop
1,w68dtmpfyf,q16-31,w68dtmpfyf:q16-31,CHARACTERIZE,BC_S1,1,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,0,0,"[49, -1, 0]","[35, -1, 0]",0.0,0.0,False,False,True
1,w68dtmpfyf,q16-31,w68dtmpfyf:q16-31,CHARACTERIZE,BC_S2,2,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,0,0,"[49, -1, 0]","[35, -1, 0]",0.0,0.0,False,False,True
1,w68dtmpfyf,q16-31,w68dtmpfyf:q16-31,CHARACTERIZE,BC_S3,3,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,0,0,"[49, -1, 0]","[35, -1, 0]",0.0,0.0,False,False,True
1,w68dtmpfyf,q16-31,w68dtmpfyf:q16-31,LOCATE,BC_S1,1,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,0,0,"[49, -1, 0]","[35, -1, 0]",0.0,0.0,False,False,True
1,w68dtmpfyf,q16-31,w68dtmpfyf:q16-31,LOCATE,BC_S2,2,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,0,0,"[49, -1, 0]","[35, -1, 0]",0.0,0.0,False,False,True
1,w68dtmpfyf,q16-31,w68dtmpfyf:q16-31,LOCATE,BC_S3,3,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,0,0,"[49, -1, 0]","[35, -1, 0]",0.0,0.0,False,False,True
1,w68dtmpfyf,q16-36,w68dtmpfyf:q16-36,CHARACTERIZE,BC_S1,1,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,3,3,"[38, -1, 0]","[43, -1, 0]",0.0007737113968567975,0.0007737113968567975,False,False,True
1,w68dtmpfyf,q16-36,w68dtmpfyf:q16-36,CHARACTERIZE,BC_S2,2,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,1,1,"[37, -1, 0]","[36, -1, 0]",0.0002659632926695241,0.0002659632926695241,False,False,True
1,w68dtmpfyf,q16-36,w68dtmpfyf:q16-36,CHARACTERIZE,BC_S3,3,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,3,3,"[36, 0, 1]","[43, -1, 0]",0.0007737113968567975,0.0007737113968567975,False,False,True
1,w68dtmpfyf,q16-36,w68dtmpfyf:q16-36,LOCATE,BC_S1,1,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,3,3,"[38, -1, 0]","[43, -1, 0]",0.0007737113968567975,0.0007737113968567975,False,False,True
1,w68dtmpfyf,q16-36,w68dtmpfyf:q16-36,LOCATE,BC_S2,2,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,1,1,"[37, -1, 0]","[36, -1, 0]",0.0002659632926695241,0.0002659632926695241,False,False,True
1,w68dtmpfyf,q16-36,w68dtmpfyf:q16-36,LOCATE,BC_S3,3,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,3,3,"[36, 0, 1]","[43, -1, 0]",0.0007737113968567975,0.0007737113968567975,False,False,True
1,xcmzfsbd9t,c24-20,xcmzfsbd9t:c24-20,CHARACTERIZE,BC_S1,1,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,2,2,"[37, -1, 0]","[59, -1, 0]",0.0007309432648799165,0.0007309432648799165,False,False,True
1,xcmzfsbd9t,c24-20,xcmzfsbd9t:c24-20,CHARACTERIZE,BC_S2,2,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,2,2,"[35, 0, 1]","[59, -1, 0]",0.0007309432648799165,0.0007309432648799165,False,False,True
1,xcmzfsbd9t,c24-20,xcmzfsbd9t:c24-20,CHARACTERIZE,BC_S3,3,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,2,2,"[35, 0, 1]","[59, -1, 0]",0.0007309432648799165,0.0007309432648799165,False,False,True
1,xcmzfsbd9t,c24-20,xcmzfsbd9t:c24-20,LOCATE,BC_S1,1,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,2,2,"[37, -1, 0]","[59, -1, 0]",0.0007309432648799165,0.0007309432648799165,False,False,True
1,xcmzfsbd9t,c24-20,xcmzfsbd9t:c24-20,LOCATE,BC_S2,2,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,2,2,"[35, 0, 1]","[59, -1, 0]",0.0007309432648799165,0.0007309432648799165,False,False,True
1,xcmzfsbd9t,c24-20,xcmzfsbd9t:c24-20,LOCATE,BC_S3,3,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,2,2,"[35, 0, 1]","[59, -1, 0]",0.0007309432648799165,0.0007309432648799165,False,False,True
1,xcmzfsbd9t,c24-39,xcmzfsbd9t:c24-39,CHARACTERIZE,BC_S1,1,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,3,3,"[38, -1, 0]","[34, -1, 0]",0.0007737113968567975,0.0007737113968567975,False,False,True
1,xcmzfsbd9t,c24-39,xcmzfsbd9t:c24-39,CHARACTERIZE,BC_S2,2,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,1,1,"[35, -1, 0]","[37, -1, 0]",0.00029014177382129903,0.00029014177382129903,False,False,True
1,xcmzfsbd9t,c24-39,xcmzfsbd9t:c24-39,CHARACTERIZE,BC_S3,3,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,3,3,"[35, 0, 1]","[34, -1, 0]",0.0007737113968567975,0.0007737113968567975,False,False,True
1,xcmzfsbd9t,c24-39,xcmzfsbd9t:c24-39,LOCATE,BC_S1,1,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,3,3,"[45, -1, 0]","[34, -1, 0]",0.0007737113968567975,0.0007737113968567975,False,False,True
1,xcmzfsbd9t,c24-39,xcmzfsbd9t:c24-39,LOCATE,BC_S2,2,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,1,1,"[35, -1, 0]","[37, -1, 0]",0.00029014177382129903,0.00029014177382129903,False,False,True
