condition_id,nominal_density,interpolation,outer_domain,inner_domain,pca_dimension,mae,fit_domains_json,fit_sample_count,query_sample_count,pca_state_sha256,ridge_state_sha256,source_p3_state_sha256,state_sha256
nearest_0.5,0.5,nearest,w68dtmpfyf,74t7kcdgkr,16,0.06484796376792767,"[""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",188,45,006a220205eaa3b3d7a08b846a56f2a78966dd196619e5ef17a62e431281123a,1c56230767ae8cb2f23bc613948a0d977531e566f2c91a80733863be06efecd8,fbd8912e12a93d175dc88143c7571b07d6af98581639e7294bbc9bee7712df36,80bff59be2a2ae725bd753c88a069cbef8b07e37152b7d718aebdb67f35969a0
nearest_0.5,0.5,nearest,w68dtmpfyf,cgtnjyggtm,16,0.13691572146344552,"[""74t7kcdgkr"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",184,49,4272fd32dadda4806404970bf2909a58f89dfb3fa63a88553a0f99c3374e58de,4dede85c69bbc35ff72a182ba8464a3e151a50a59f710c5d5671316fffd60ce9,c28a29566c8f934dfb3cf093c984d8c9046a4930eb74b7e8d37303c16707daeb,69e87a891f85c41bb3ce391262c2e869d0f188b84579762d666c3ed03ebdb3bd
nearest_0.5,0.5,nearest,w68dtmpfyf,xcmzfsbd9t,16,0.07334430776375732,"[""74t7kcdgkr"",""cgtnjyggtm"",""yfxyg8jm46"",""ykhs7s2dck""]",174,59,8a0785df30f136316ec0923df7b60215c937251efeb4b919f2bc596e2c47d94b,68787cfca1453ef917742c62dee7652154cae8302fb33716fb045823f21c9967,182fd1f2b64fdc43b1ec71af619d370f7492f92fc6fe5b8853415a57ea061f19,e767609237fc2f73be4fb9c1af3cc493c668ca3392381d8c3f55c657c3ab23b6
nearest_0.5,0.5,nearest,w68dtmpfyf,yfxyg8jm46,16,0.12332539555471184,"[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""ykhs7s2dck""]",191,42,51450b490e79951338ca72e17b03317f59f935826911c4d7d4d5dcec1ead4acf,b5db8374277e6544c42da7b3c737f5d1c7a287ce9b220d209d45bca2d6462dac,721e7032abb06e20d601b97d01f6f9bef3bf608175f099a0c95f7c0f0bff9ca0,5a899c1b76760ee7169348f7ef50c7bf864261b0a66a6b222578a872a3e8090c
nearest_0.5,0.5,nearest,w68dtmpfyf,ykhs7s2dck,16,0.1742328809057263,"[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46""]",195,38,c6e58249b92a134904f4ad29c49e1df748ae12e29a550d3a98ee90e53216f5f6,f22e53e068b1a93545f72693b35920da76eb1a5df8601cbd2de16d79b7148534,d4422cf004f3aff7f088c31b243debf5bce23a37dba323232d7e4aae7d84dd5f,ef2ed75c513948b4512abef1a78912aa85164f1ed26bc08c1c3c122dc395c51c
nearest_0.5,0.5,nearest,w68dtmpfyf,74t7kcdgkr,32,0.07769802976463788,"[""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",188,45,9174bdffdc724fcccefcfe0767a68bed18d2bd2db5c471146584919ea22a145c,d4d56f3b070b002849c7d8223952b403f5d1c3562c734f49493c8c394af04593,4ded84e87acf0568c504ad104445d8fe0bca9fb11d83f61715918221cfd99728,ece23ff0a7aad3a0d26cfa8510595ef98f31738751b14b8af72961f2c81df237
nearest_0.5,0.5,nearest,w68dtmpfyf,cgtnjyggtm,32,0.14828819705674962,"[""74t7kcdgkr"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",184,49,7bbcb973eff1119318c121667d8b6a709bad491e29bd2a8645b41bde71a0776c,ffd8fe9460f5d3d428a01ff96b2d66364dc7fa77be3b6e50e129291e163dac99,291509e8ec35e60b00bbb8c1bb74371fd55358857c04e9888226540bd3e2778c,89d2ddeca3207603897ebb2bfae9c5324d4f5bfb82440c8a755b39abd651cf05
nearest_0.5,0.5,nearest,w68dtmpfyf,xcmzfsbd9t,32,0.08976312291799099,"[""74t7kcdgkr"",""cgtnjyggtm"",""yfxyg8jm46"",""ykhs7s2dck""]",174,59,2775b0c941abd58ce6e68413f11c883912814d7d4e75aa70aa75e6d0f7892ed3,bb285cca0235bc33c17881c8b44468c1527bc6a41383c9681e8277fab8f73f1f,626a0900572f3c955b71d4802b52216d77148ba2ab3da709ed8f2705951efae2,ff0349301b0547d70b62b94058502d549ac1bc967d8bc17e9332651886b83144
nearest_0.5,0.5,nearest,w68dtmpfyf,yfxyg8jm46,32,0.12708764521330634,"[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""ykhs7s2dck""]",191,42,44649e334c3b9187df12ae2b2634438f0c67bc414ef474c7a8d04cb610ea8212,c89932a733f8e51d31068268e124ac5fa38ef758b022a5e6e4e4a671405db6f2,95572ef4565f0f638b942a8e4a55b69981d80d8c057f19a8b9924795f8757d08,8139935438bcde1ff16fb8dec2b5bece1cdca30450753c4143a64d2f8634a54d
nearest_0.5,0.5,nearest,w68dtmpfyf,ykhs7s2dck,32,0.20971474951197144,"[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46""]",195,38,7f05be2c16bc792554fcc74742261a1d7ae35b38b31f9171ceea9f0969c70688,8c3d923a52201786d58f0e0c6e1e10c80c385ec8d627bcc4bd020d5d44dfca6c,bdcd330ab9b30ff259286c838b3e2b2f1c8ae62410d97c866890d395dc2f07c0,5d4f8887d955df95bb9547d9ba6d9e2ea3f729d5a9d16053b6793bdad1a3cad6
nearest_0.5,0.5,nearest,xcmzfsbd9t,74t7kcdgkr,8,0.11043046743232626,"[""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",172,45,0d30f516849f7986764530e38159e16197f70e662a0e3047823f625937352232,2cff75c3d730cab7a21e365f1fbfb9ef728c2d0593273150999336269b96c971,ac17257935958e2323d1493cc1e5db68a7724476397bb6d2b314d495167590e6,c408acd04f636deb898c0f89ad59a9c78d5b0fce9639ae9dc0298082cdc1e9d5
nearest_0.5,0.5,nearest,xcmzfsbd9t,cgtnjyggtm,8,0.11933604862267848,"[""74t7kcdgkr"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",168,49,707406c3bf86a74b3d383fcdab5fb858f7a75af5375fd6876a42d857e8b9f33f,8b84ce312c75369b80334cd51fa80724f104dd7a55259acd6eed1714e5e2d801,913b02dec8e3f46dac5695f22ee669c9a47566b73cf2f2b143b7b0d9ed1221ac,4996babdb9fb906662741de5975938890383c77e45d845e505bb41459156a4e3
nearest_0.5,0.5,nearest,xcmzfsbd9t,w68dtmpfyf,8,0.10475958769554236,"[""74t7kcdgkr"",""cgtnjyggtm"",""yfxyg8jm46"",""ykhs7s2dck""]",174,43,bf8b78c20822c006a9b595c5e789fa04cb086b865f51b3ebafaead03ea230e3f,36e195fc2bfad1c3f88305d327320b07531a6ee279036f091c0f9956e60a5af4,2487669b59d4b4ae524a2e20fcdfa554ebba0ebe0ff7ef9cc5b1c6738ba37cd2,fcdb32fdde83037db66d453716dd85a386299fd030dd6a79c6004618ff994a7c
