axis,outer_group,condition_id,selected_pca_dimension,source_equal_group_mae,dimension_scores_json
gaussian,yfxyg8jm46,gaussian:sigma=0.5,8,0.08619601565692257,"[[8,0.08619601565692257],[16,0.0864231915993238],[32,0.09257353766764131]]"
gaussian,yfxyg8jm46,gaussian:sigma=1,8,0.08462713562311061,"[[8,0.08462713562311061],[16,0.08619000578491719],[32,0.09581203089755672]]"
gaussian,yfxyg8jm46,gaussian:sigma=1.5,8,0.08528057916385769,"[[8,0.08528057916385769],[16,0.08651374732621714],[32,0.09532027749832236]]"
gaussian,yfxyg8jm46,gaussian:sigma=2,16,0.0861303343529082,"[[8,0.08618173747469034],[16,0.0861303343529082],[32,0.09689671255674899]]"
gaussian,yfxyg8jm46,gaussian:sigma=3,8,0.08615721082182295,"[[8,0.08615721082182295],[16,0.0869920553961782],[32,0.10042317667509873]]"
gaussian,yfxyg8jm46,gaussian:sigma=4,16,0.08799699720965341,"[[8,0.089376592198685],[16,0.08799699720965341],[32,0.10062400033756709]]"
gaussian,yfxyg8jm46,gaussian:sigma=6,8,0.09043624883436806,"[[8,0.09043624883436806],[16,0.09126675569312329],[32,0.0973083771708097]]"
gaussian,yfxyg8jm46,gaussian:sigma=8,8,0.09317563102441462,"[[8,0.09317563102441462],[16,0.09549327541411692],[32,0.10378044812776457]]"
gaussian,ykhs7s2dck,gaussian:sigma=0,8,0.10175762849276,"[[8,0.10175762849276],[16,0.10674268949160755],[32,0.10640361188335701]]"
gaussian,ykhs7s2dck,gaussian:sigma=0.5,8,0.10249949189840064,"[[8,0.10249949189840064],[16,0.10815032883298045],[32,0.10859839707975558]]"
gaussian,ykhs7s2dck,gaussian:sigma=1,8,0.1043697330226917,"[[8,0.1043697330226917],[16,0.11326774593733893],[32,0.11553794565505175]]"
gaussian,ykhs7s2dck,gaussian:sigma=1.5,8,0.10569563950730147,"[[8,0.10569563950730147],[16,0.1132573074465287],[32,0.12187006898135784]]"
gaussian,ykhs7s2dck,gaussian:sigma=2,8,0.10657690494103242,"[[8,0.10657690494103242],[16,0.11188310694717467],[32,0.12133812991618635]]"
