authorized,boundary_consistency,cai_access,dataset_id,deterministic_transform_replay,hidden_cscan_content_access,invertible,legal_action_grid,orientation_ambiguity,specimen_id
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,cgtnjyggtm,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,q24-30
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,cgtnjyggtm,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,q24-31
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,cgtnjyggtm,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,q24-32
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,cgtnjyggtm,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,q24-33
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,cgtnjyggtm,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,q24-34
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,cgtnjyggtm,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,q24-35
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,cgtnjyggtm,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,q24-36
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,cgtnjyggtm,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,q24-37
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,cgtnjyggtm,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,q24-38
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,cgtnjyggtm,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,q24-39
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,cgtnjyggtm,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,q24-4
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,cgtnjyggtm,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,q24-40
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,cgtnjyggtm,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,q24-41
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,cgtnjyggtm,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,q24-42
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,cgtnjyggtm,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,q24-43
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,cgtnjyggtm,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,q24-44
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,cgtnjyggtm,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,q24-45
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,cgtnjyggtm,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,q24-46
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,cgtnjyggtm,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,q24-47
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,cgtnjyggtm,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,q24-48
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,cgtnjyggtm,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,q24-49
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,cgtnjyggtm,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,q24-5
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,cgtnjyggtm,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,q24-50
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,cgtnjyggtm,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,q24-6
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,cgtnjyggtm,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,q24-7
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,cgtnjyggtm,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,q24-8
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,cgtnjyggtm,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,q24-9
