annotation_status,channels,dataset_id,exif_orientation,format,height_px,image_frame_physical_extent_status,metadata_keys,metadata_status,mode,orientation_status,physical_extent_status,published_specimen_height_mm,published_specimen_width_mm,sha256,specimen_boundary_status,specimen_boundary_visibility,specimen_id,visible_annotations,width_px
UNKNOWN,3,74t7kcdgkr,,PNG,3357,UNRESOLVED_NO_EXPORT_TRANSFORM,dpi;gamma;srgb,OBSERVED,RGB,UNKNOWN_NO_SOURCE_TRANSFORM,UNKNOWN,80.0,80.0,a1d192e4505390bea1cd49410aae84b4ada33f656124ab904f91ec2a7200b60e,UNKNOWN,UNKNOWN_NOT_MACHINE_VERIFIED,c8-32,UNKNOWN_NOT_MACHINE_VERIFIED,3357
UNKNOWN,3,74t7kcdgkr,,PNG,3357,UNRESOLVED_NO_EXPORT_TRANSFORM,dpi;gamma;srgb,OBSERVED,RGB,UNKNOWN_NO_SOURCE_TRANSFORM,UNKNOWN,80.0,80.0,a61eebadb40109142b8e617c65758734f821c0cf1e888e95050b0324638260f9,UNKNOWN,UNKNOWN_NOT_MACHINE_VERIFIED,c8-23,UNKNOWN_NOT_MACHINE_VERIFIED,3357
UNKNOWN,3,74t7kcdgkr,,PNG,3357,UNRESOLVED_NO_EXPORT_TRANSFORM,dpi;gamma;srgb,OBSERVED,RGB,UNKNOWN_NO_SOURCE_TRANSFORM,UNKNOWN,80.0,80.0,b56fe29ff98b91801ed5c1455008a9ec40699aa50e66496c4dbac3f199bc7f73,UNKNOWN,UNKNOWN_NOT_MACHINE_VERIFIED,c8-34,UNKNOWN_NOT_MACHINE_VERIFIED,3357
UNKNOWN,3,74t7kcdgkr,,PNG,3357,UNRESOLVED_NO_EXPORT_TRANSFORM,dpi;gamma;srgb,OBSERVED,RGB,UNKNOWN_NO_SOURCE_TRANSFORM,UNKNOWN,80.0,80.0,cbe87ecd7e78a2b930e028eac75cf23e70299a88d630c44d867ea836a1df366b,UNKNOWN,UNKNOWN_NOT_MACHINE_VERIFIED,c8-38,UNKNOWN_NOT_MACHINE_VERIFIED,3357
UNKNOWN,3,74t7kcdgkr,,PNG,3357,UNRESOLVED_NO_EXPORT_TRANSFORM,dpi;gamma;srgb,OBSERVED,RGB,UNKNOWN_NO_SOURCE_TRANSFORM,UNKNOWN,80.0,80.0,d0d0dab2dae10def0e0020a5158a6ce1a929d3426eb624ae8b4b8958a2c7e867,UNKNOWN,UNKNOWN_NOT_MACHINE_VERIFIED,c8-30,UNKNOWN_NOT_MACHINE_VERIFIED,3357
UNKNOWN,3,74t7kcdgkr,,PNG,3357,UNRESOLVED_NO_EXPORT_TRANSFORM,dpi;gamma;srgb,OBSERVED,RGB,UNKNOWN_NO_SOURCE_TRANSFORM,UNKNOWN,80.0,80.0,ddd582c5d6690b5ee05e92f9fe5af2ad2f875d38f759cb8eea5a431bf77eaa41,UNKNOWN,UNKNOWN_NOT_MACHINE_VERIFIED,c8-36,UNKNOWN_NOT_MACHINE_VERIFIED,3357
UNKNOWN,3,74t7kcdgkr,,PNG,3357,UNRESOLVED_NO_EXPORT_TRANSFORM,dpi;gamma;srgb,OBSERVED,RGB,UNKNOWN_NO_SOURCE_TRANSFORM,UNKNOWN,80.0,80.0,de357818c7ff1e55535daa270e23a813b71856db386aff0177481877ac3954f6,UNKNOWN,UNKNOWN_NOT_MACHINE_VERIFIED,c8-43,UNKNOWN_NOT_MACHINE_VERIFIED,3357
UNKNOWN,3,74t7kcdgkr,,PNG,3357,UNRESOLVED_NO_EXPORT_TRANSFORM,dpi;gamma;srgb,OBSERVED,RGB,UNKNOWN_NO_SOURCE_TRANSFORM,UNKNOWN,80.0,80.0,e00d366abf1e961dcf87b4f9b7a30b6b95b300b74388bad16b3d5e0a9e5bdf91,UNKNOWN,UNKNOWN_NOT_MACHINE_VERIFIED,c8-37,UNKNOWN_NOT_MACHINE_VERIFIED,3357
UNKNOWN,3,74t7kcdgkr,,PNG,3357,UNRESOLVED_NO_EXPORT_TRANSFORM,dpi;gamma;srgb,OBSERVED,RGB,UNKNOWN_NO_SOURCE_TRANSFORM,UNKNOWN,80.0,80.0,e347ffb6de8a6cdb77194ed826d809cae9a67d9354eacd801e127e27d506da06,UNKNOWN,UNKNOWN_NOT_MACHINE_VERIFIED,c8-42,UNKNOWN_NOT_MACHINE_VERIFIED,3357
UNKNOWN,3,cgtnjyggtm,,PNG,3357,UNRESOLVED_NO_EXPORT_TRANSFORM,dpi;gamma;srgb,OBSERVED,RGB,UNKNOWN_NO_SOURCE_TRANSFORM,UNKNOWN,80.0,80.0,0350ff1303042b0161a6fc964a7d97698100d310f6deb9b391f6fe0d34fb9191,UNKNOWN,UNKNOWN_NOT_MACHINE_VERIFIED,q24-24,UNKNOWN_NOT_MACHINE_VERIFIED,3357
