config_id,family,alpha,loss,ranking_lambda,parameter_count,outer_domain,mode,validation_domain,fit_domains,validation_specimen_count,ndcg_10,spearman,model_state_sha256,selected,mean_ndcg_10,mean_spearman
mlp_huber_rank_0.5,mlp,,huber_rank,0.5,37393,74t7kcdgkr,global_candidate,yfxyg8jm46,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|ykhs7s2dck,42,0.6191630934585671,0.06375043607186463,38051b92444f28bddff85caf90cac32db513cc29b34631cc489c38bfb49dcab8,false,,
mlp_huber_rank_0.5,mlp,,huber_rank,0.5,37393,74t7kcdgkr,global_candidate,ykhs7s2dck,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46,38,0.6924126759639622,0.0764206188548294,e6d38f3262f230b43472a483c8fff8f27ea66fcafd769b0c60dd81a8aa2d1b8d,false,,
mlp_huber_rank_1,mlp,,huber_rank,1.0,37393,74t7kcdgkr,global_candidate,cgtnjyggtm,w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,49,0.6583352499653429,0.06223835688121403,fe2836256e5280ed869f5e3ff96946f5d71dd8fa93de6920de975f988186fb0a,false,,
mlp_huber_rank_1,mlp,,huber_rank,1.0,37393,74t7kcdgkr,global_candidate,w68dtmpfyf,cgtnjyggtm|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,43,0.6889365608569796,0.00023319703552261448,f0efa9a8de5896683422b36abf4fb5a25ec5ab14e3bb297fff01b68ac282c8c5,false,,
mlp_huber_rank_1,mlp,,huber_rank,1.0,37393,74t7kcdgkr,global_candidate,xcmzfsbd9t,cgtnjyggtm|w68dtmpfyf|yfxyg8jm46|ykhs7s2dck,59,0.654249833435694,-0.07602103305664361,8792efdbaefb121402146785d3747cfc48f7b2979a78ce9b9c2b3d1491393c3b,false,,
mlp_huber_rank_1,mlp,,huber_rank,1.0,37393,74t7kcdgkr,global_candidate,yfxyg8jm46,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|ykhs7s2dck,42,0.6125137337823404,0.06023460666317808,d9bea839a713b8997cf13e11beacdde8b293f668d5f230d94d582aee165271ed,false,,
mlp_huber_rank_1,mlp,,huber_rank,1.0,37393,74t7kcdgkr,global_candidate,ykhs7s2dck,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46,38,0.6913239384020639,0.07898351648351647,a20358a98117935bd1c199c652293336a14db67e88f3f2a61e983b1681304e94,false,,
ridge_alpha_0.1,ridge,0.1,value_regression,0.0,522,74t7kcdgkr,global_candidate,EQUAL_SOURCE_MEAN,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,231,0.6757034761698641,-0.023386121944874168,,false,0.6757034761698641,-0.023386121944874168
ridge_alpha_1,ridge,1.0,value_regression,0.0,522,74t7kcdgkr,global_candidate,EQUAL_SOURCE_MEAN,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,231,0.6835386213170368,-0.02365065644716613,,false,0.6835386213170368,-0.02365065644716613
ridge_alpha_10,ridge,10.0,value_regression,0.0,522,74t7kcdgkr,global_candidate,EQUAL_SOURCE_MEAN,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,231,0.6797795408428641,-0.024908261662605284,,false,0.6797795408428641,-0.024908261662605284
ridge_alpha_100,ridge,100.0,value_regression,0.0,522,74t7kcdgkr,global_candidate,EQUAL_SOURCE_MEAN,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,231,0.6788582409679034,-0.027029342106853364,,false,0.6788582409679034,-0.027029342106853364
mlp_top1,mlp,,top1,0.0,37393,74t7kcdgkr,global_candidate,EQUAL_SOURCE_MEAN,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,231,0.6914982675648499,0.006077115839308215,,true,0.6914982675648499,0.006077115839308215
mlp_huber,mlp,,huber,0.0,37393,74t7kcdgkr,global_candidate,EQUAL_SOURCE_MEAN,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,231,0.6623993892387864,0.026656392889092696,,false,0.6623993892387864,0.026656392889092696
mlp_huber_rank_0.1,mlp,,huber_rank,0.1,37393,74t7kcdgkr,global_candidate,EQUAL_SOURCE_MEAN,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,231,0.6631232953859256,0.027269936646013203,,false,0.6631232953859256,0.027269936646013203
mlp_huber_rank_0.5,mlp,,huber_rank,0.5,37393,74t7kcdgkr,global_candidate,EQUAL_SOURCE_MEAN,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,231,0.6628401042824187,0.02611646648782573,,false,0.6628401042824187,0.02611646648782573
