target_id,target_type,target_mae,source_method,source_budget,grid,method,cost,attained_mae,status,later_recrosses_target,main_cost,absolute_saving,relative_saving,saving_status,actual_cost_mean,actual_cost_min,actual_cost_max,scope
ANCHOR_CENTER_FIRST_3,NONADAPTIVE_ANCHOR,49.09352935791016,CENTER_FIRST,0.1875,SECONDARY_EVENT_GRID,LEARNED_STATIC_TRUE,0.0621301775147929,48.893489074707034,REACHED,False,0.03120342894823607,0.030926748566556826,0.4977733816902956,DEFINED,0.047344797464576024,0.04671282558522915,0.0621301775147929,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_CENTER_FIRST_3,NONADAPTIVE_ANCHOR,49.09352935791016,CENTER_FIRST,0.1875,SECONDARY_EVENT_GRID,NO_VLM_SPATIAL_FEEDBACK,0.015715280194918205,48.84876586914063,REACHED,False,0.03120342894823607,-0.015488148753317867,-0.9855470956430172,DEFINED,0.015271685034638691,0.0,0.015715280194918205,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_CENTER_FIRST_3,NONADAPTIVE_ANCHOR,49.09352935791016,CENTER_FIRST,0.1875,SECONDARY_EVENT_GRID,VLM_MEAN_FEEDBACK,0.03138806462248599,47.762078552246095,REACHED,False,0.03120342894823607,0.00018463567424991528,0.00588235294117645,DEFINED,0.030236950844343715,0.015509396636993076,0.03138806462248599,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_CENTER_FIRST_3,NONADAPTIVE_ANCHOR,49.09352935791016,CENTER_FIRST,0.1875,SECONDARY_EVENT_GRID,VLM_SPATIAL_FEEDBACK,0.03120342894823607,49.05740936279297,REACHED,False,0.03120342894823607,0.0,0.0,DEFINED,0.028663854899734425,0.015694032311242993,0.03120342894823607,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_CENTER_FIRST_3,NONADAPTIVE_ANCHOR,49.09352935791016,CENTER_FIRST,0.1875,SECONDARY_EVENT_GRID,VLM_SPATIAL_OPEN_LOOP,0.03138806462248599,49.04834716796875,REACHED,False,0.03120342894823607,0.00018463567424991528,0.00588235294117645,DEFINED,0.031182361490824498,0.03069961712495649,0.03138806462248599,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_CENTER_FIRST_3,NONADAPTIVE_ANCHOR,49.09352935791016,CENTER_FIRST,0.1875,SECONDARY_EVENT_GRID,FULL_SCAN_P_ALL,1.0,41.69001007080078,REACHED,False,0.03120342894823607,0.968796571051764,0.968796571051764,DEFINED,1.0,1.0,1.0,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_CENTER_FIRST_4,NONADAPTIVE_ANCHOR,48.02656921386719,CENTER_FIRST,0.25,PRIMARY_FIVE_BUDGETS,CENTER_FIRST,0.0625,47.885134887695315,REACHED,True,0.0625,0.0,0.0,DEFINED,0.06234995212770904,0.06139923424991298,0.06240685789647214,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_CENTER_FIRST_4,NONADAPTIVE_ANCHOR,48.02656921386719,CENTER_FIRST,0.25,PRIMARY_FIVE_BUDGETS,GEOMETRY_SPREAD,0.125,46.188976745605466,REACHED,False,0.0625,0.0625,0.5,DEFINED,0.12454835101389078,0.12316394013226592,0.12462908011869436,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_CENTER_FIRST_4,NONADAPTIVE_ANCHOR,48.02656921386719,CENTER_FIRST,0.25,PRIMARY_FIVE_BUDGETS,SERPENTINE,0.25,48.012801818847656,REACHED,False,0.0625,0.1875,0.75,DEFINED,0.24918441521956713,0.2485207100591716,0.24925816023738873,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_CENTER_FIRST_4,NONADAPTIVE_ANCHOR,48.02656921386719,CENTER_FIRST,0.25,PRIMARY_FIVE_BUDGETS,RANDOM,0.25,46.88638348388671,REACHED,False,0.0625,0.1875,0.75,DEFINED,0.24694306468044036,0.23449170238487746,0.25,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_CENTER_FIRST_4,NONADAPTIVE_ANCHOR,48.02656921386719,CENTER_FIRST,0.25,PRIMARY_FIVE_BUDGETS,LEARNED_STATIC_TRUE,0.0625,46.46498809814453,REACHED,True,0.0625,0.0,0.0,DEFINED,0.06240137920741666,0.0621301775147929,0.0625,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_CENTER_FIRST_4,NONADAPTIVE_ANCHOR,48.02656921386719,CENTER_FIRST,0.25,PRIMARY_FIVE_BUDGETS,NO_VLM_SPATIAL_FEEDBACK,0.0625,43.32439086914062,REACHED,False,0.0625,0.0,0.0,DEFINED,0.057700425782035526,0.046897461259479065,0.0625,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_CENTER_FIRST_4,NONADAPTIVE_ANCHOR,48.02656921386719,CENTER_FIRST,0.25,PRIMARY_FIVE_BUDGETS,VLM_MEAN_FEEDBACK,0.0625,46.4928271484375,REACHED,False,0.0625,0.0,0.0,DEFINED,0.05803692150967886,0.046897461259479065,0.0625,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_CENTER_FIRST_4,NONADAPTIVE_ANCHOR,48.02656921386719,CENTER_FIRST,0.25,PRIMARY_FIVE_BUDGETS,VLM_SPATIAL_FEEDBACK,0.0625,45.51743743896484,REACHED,False,0.0625,0.0,0.0,DEFINED,0.060459240801965394,0.046897461259479065,0.0625,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_CENTER_FIRST_4,NONADAPTIVE_ANCHOR,48.02656921386719,CENTER_FIRST,0.25,PRIMARY_FIVE_BUDGETS,VLM_SPATIAL_OPEN_LOOP,0.0625,45.59236480712891,REACHED,False,0.0625,0.0,0.0,DEFINED,0.0592371596106823,0.04671282558522915,0.0625,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
