outer_domain,scorer,nominal_checkpoint,specimen_count,state_count,mean_exact_acquired_cost,mean_effective_budget,next_action_regret,one_step_cai_utility,spearman,ndcg,recall_at_k
xcmzfsbd9t,static_m1_o2,0.0625,59,295,20806.772881355933,0.06127443803618907,0.01766852269692258,-0.0009355089146740206,-0.027179477864146033,0.8921727837168086,0.2433898305084746
xcmzfsbd9t,static_m1_o2,0.09375,59,295,31217.352542372882,0.09191314205510775,0.016689012962346057,-0.0008113502166795096,-0.00660754925571824,0.8903065882865204,0.24067796610169492
xcmzfsbd9t,static_m1_o2,0.125,59,295,41955.908474576274,0.1233537385865288,0.016218115832490908,-0.0008325208356256153,-0.0038726709358392225,0.8886005665329858,0.23322033898305083
xcmzfsbd9t,static_m1_o2,0.1875,59,295,63237.27118644068,0.1858372278869011,0.014380531345571166,-0.0012541671405981477,-0.022313694056948555,0.8812463633981173,0.20610169491525424
yfxyg8jm46,candidate_only_static,0.03125,42,210,8430.97619047619,0.018531654446590155,0.019602936988317284,-0.0008596130233052421,-0.015360849467992321,0.8740214687682918,0.0838095238095238
yfxyg8jm46,candidate_only_static,0.0625,42,210,27785.699999999997,0.061074183976261125,0.012739151622361238,-0.0010037469402211711,0.000837908686505419,0.8850547065382476,0.08571428571428572
yfxyg8jm46,candidate_only_static,0.09375,42,210,41720.514285714286,0.09170351529995446,0.01187531507054896,-0.001137096847049337,-0.0003385093895794851,0.8877805672282448,0.08380952380952382
yfxyg8jm46,candidate_only_static,0.125,42,210,56013.54761904762,0.12312022775919906,0.011570616252767276,-0.001026357082625021,-0.004313348728479683,0.8848374087176756,0.08571428571428573
yfxyg8jm46,candidate_only_static,0.1875,42,210,84506.80476190476,0.18574965328476706,0.009555876983053251,-0.0004480445061778106,-0.010867667073393228,0.8813722176824283,0.10571428571428572
yfxyg8jm46,dynamic_positions_only,0.03125,42,210,8430.97619047619,0.018531654446590155,0.019303836877857763,-0.0005605129128457202,-0.06760234764240271,0.8652538298126515,0.03619047619047619
yfxyg8jm46,dynamic_positions_only,0.0625,42,210,27785.699999999997,0.061074183976261125,0.011928369284166355,-0.0001929646020262891,-0.01575165673871007,0.8833677974758926,0.04857142857142857
yfxyg8jm46,dynamic_positions_only,0.09375,42,210,41720.514285714286,0.09170351529995446,0.011041234824787053,-0.0003030166012874316,-0.012105415318167707,0.8853467715107799,0.05904761904761905
yfxyg8jm46,dynamic_positions_only,0.125,42,210,56013.54761904762,0.12312022775919906,0.010973877858288097,-0.00042961868814584146,0.00040096900014779377,0.883226015928338,0.06190476190476191
yfxyg8jm46,dynamic_positions_only,0.1875,42,210,84506.80476190476,0.18574965328476706,0.00953434361816669,-0.00042651114129124967,0.007586510623224597,0.8794596815833886,0.08095238095238096
yfxyg8jm46,dynamic_real,0.03125,42,210,8430.97619047619,0.018531654446590155,0.019416636046667733,-0.000673312081655692,-0.027427612070469207,0.8651128518692155,0.02857142857142857
yfxyg8jm46,dynamic_real,0.0625,42,210,27785.699999999997,0.061074183976261125,0.012135831681791916,-0.00040042699965184964,0.019697102545746494,0.883400147667117,0.03904761904761905
yfxyg8jm46,dynamic_real,0.09375,42,210,41720.514285714286,0.09170351529995446,0.011218609785137584,-0.00048039156163796215,0.02092306159495682,0.8855494658693608,0.04476190476190477
yfxyg8jm46,dynamic_real,0.125,42,210,56013.54761904762,0.12312022775919906,0.011114229866675268,-0.0005699706965330125,0.025914981553073903,0.8828641587774929,0.04571428571428572
yfxyg8jm46,dynamic_real,0.1875,42,210,84506.80476190476,0.18574965328476706,0.009677890284644539,-0.0005700578077690992,0.017521665107079785,0.878814543534687,0.08571428571428572
yfxyg8jm46,dynamic_shuffled,0.03125,42,210,8430.97619047619,0.018531654446590155,0.017231730072050814,0.0015115938929612296,0.12176565497994069,0.8840641256069275,0.08952380952380952
yfxyg8jm46,dynamic_shuffled,0.0625,42,210,27785.699999999997,0.061074183976261125,0.011319409288865568,0.00041599539327449837,0.09696373128499931,0.8929497668336756,0.1123809523809524
yfxyg8jm46,dynamic_shuffled,0.09375,42,210,41720.514285714286,0.09170351529995446,0.010974901522917139,-0.00023668329941751691,0.08025275744758675,0.8912620697239598,0.08857142857142858
yfxyg8jm46,dynamic_shuffled,0.125,42,210,56013.54761904762,0.12312022775919906,0.010921201314176301,-0.00037694214403404517,0.08831245952969949,0.8895150235490238,0.08761904761904762
yfxyg8jm46,dynamic_shuffled,0.1875,42,210,84506.80476190476,0.18574965328476706,0.009604301073897639,-0.0004964685970221978,0.08457768094720688,0.8845786528122533,0.08761904761904762
yfxyg8jm46,static_m1_o2,0.03125,42,210,8430.97619047619,0.018531654446590155,0.017037369178665735,0.0017059547863463045,0.032440476190476186,0.9020264211282724,0.32857142857142857
yfxyg8jm46,static_m1_o2,0.0625,42,210,27785.699999999997,0.061074183976261125,0.01426367495246266,-0.002528270270322594,0.01669741728539983,0.8944389886184458,0.24285714285714288
