scope,outer_domain,nominal_checkpoint,metric,control_scorer,direction,estimate,bootstrap_mean,ci95_lower,ci95_upper,fraction_above_zero,bootstrap_replicates,seed,fraction_below_zero
domain,cgtnjyggtm,0.0625,real_minus_control_regret,dynamic_shuffled,negative_favors_dynamic_real,-0.00020738921252660449,-0.00020245067023638542,-0.0006749980924962068,0.0002570108261692888,0.1982,5000,20250826,0.8018
domain,w68dtmpfyf,0.0625,real_minus_control_regret,dynamic_shuffled,negative_favors_dynamic_real,0.00013904800901531726,0.0001413660461527168,-0.00008988616977785723,0.0003810520284808794,0.8876,5000,20250826,0.1124
domain,xcmzfsbd9t,0.0625,real_minus_control_regret,dynamic_shuffled,negative_favors_dynamic_real,0.00020077644136144018,0.00020059423956034163,-0.00018782322562971456,0.0006244059053335412,0.8338,5000,20250826,0.1662
domain,yfxyg8jm46,0.0625,real_minus_control_regret,dynamic_shuffled,negative_favors_dynamic_real,0.0008164223929263484,0.0008169401520138237,0.00001612774700619283,0.001695967931377031,0.976,5000,20250826,0.024
domain,ykhs7s2dck,0.0625,real_minus_control_regret,dynamic_shuffled,negative_favors_dynamic_real,8.767957664961024e-6,8.661985618475298e-6,-0.0001423758416604289,0.000150494145814911,0.5504,5000,20250826,0.4496
equal_domain,__equal_domain__,0.0625,real_minus_control_regret,dynamic_shuffled,negative_favors_dynamic_real,0.0002609566321663123,0.00026172828485524565,0.00004451792567389495,0.0004796021020298898,0.9916,5000,20250826,0.0084
domain,74t7kcdgkr,0.09375,real_minus_control_regret,dynamic_shuffled,negative_favors_dynamic_real,0.0007458899820641449,0.0007427008391596554,0.00010239723709818579,0.0014224172721929488,0.9898,5000,20250826,0.0102
domain,cgtnjyggtm,0.09375,real_minus_control_regret,dynamic_shuffled,negative_favors_dynamic_real,-0.00012941898274238146,-0.0001254947583144375,-0.0005726551602210153,0.0003122732088433882,0.2876,5000,20250826,0.7124
domain,w68dtmpfyf,0.09375,real_minus_control_regret,dynamic_shuffled,negative_favors_dynamic_real,0.00012468889993828836,0.00012735474679730654,-0.00011491979389325904,0.00037256701516626606,0.8434,5000,20250826,0.1566
domain,xcmzfsbd9t,0.09375,real_minus_control_regret,dynamic_shuffled,negative_favors_dynamic_real,-5.076970671907127e-6,-7.377655130431689e-6,-0.0002299823171552448,0.00024029273696608372,0.4686,5000,20250826,0.5314
domain,yfxyg8jm46,0.09375,real_minus_control_regret,dynamic_shuffled,negative_favors_dynamic_real,0.00024370826222044548,0.00024745485085786087,-0.00035392247345345066,0.0008889267846109213,0.7798,5000,20250826,0.2202
domain,ykhs7s2dck,0.09375,real_minus_control_regret,dynamic_shuffled,negative_favors_dynamic_real,0.00004713378225315763,0.00004677227420668518,-0.00011956475721701882,0.00021167205807660436,0.707,5000,20250826,0.293
equal_domain,__equal_domain__,0.09375,real_minus_control_regret,dynamic_shuffled,negative_favors_dynamic_real,0.00017115416217695795,0.00017190171626277313,-1.6765933829274434e-6,0.0003577237769289606,0.974,5000,20250826,0.026
domain,74t7kcdgkr,0.125,real_minus_control_regret,dynamic_shuffled,negative_favors_dynamic_real,0.0003328869169903631,0.000340784468237633,-0.00039403074400499815,0.0011138882075258743,0.8076,5000,20250826,0.1924
domain,cgtnjyggtm,0.125,real_minus_control_regret,dynamic_shuffled,negative_favors_dynamic_real,-0.0001296841418192557,-0.0001241714001309903,-0.0005773859773386439,0.00030308853535105794,0.2938,5000,20250826,0.7062
domain,w68dtmpfyf,0.125,real_minus_control_regret,dynamic_shuffled,negative_favors_dynamic_real,0.0005004568195942985,0.00050116057731601,0.0000941236705520785,0.000907304184843295,0.9912,5000,20250826,0.0088
domain,xcmzfsbd9t,0.125,real_minus_control_regret,dynamic_shuffled,negative_favors_dynamic_real,1.1336090641606011e-6,4.415209135135468e-8,-0.00031972067020121463,0.000292368336378523,0.5124,5000,20250826,0.4876
domain,yfxyg8jm46,0.125,real_minus_control_regret,dynamic_shuffled,negative_favors_dynamic_real,0.00019302855249896805,0.00019714746607041151,-0.00042389056315067714,0.0008498905213714268,0.7262,5000,20250826,0.2738
domain,ykhs7s2dck,0.125,real_minus_control_regret,dynamic_shuffled,negative_favors_dynamic_real,0.0000819485798849353,0.00008465387829302517,-0.00007469297122376185,0.00025109482219013926,0.8448,5000,20250826,0.1552
