authorized,boundary_consistency,cai_access,dataset_id,decoded_pixel_replay,deterministic_transform_replay,global_orientation,grid_cell_count,hidden_cscan_orientation_selection,invertible,maximum_round_trip_error_px,oracle_access,panel_resolution,physical_mm_cross_modal_mapping,specimen_id,status,unsupported_rotation_reflection
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,cgtnjyggtm,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,q24-29,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,cgtnjyggtm,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,q24-3,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,cgtnjyggtm,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,q24-30,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,cgtnjyggtm,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,q24-31,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,cgtnjyggtm,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,q24-32,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,cgtnjyggtm,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,q24-33,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,cgtnjyggtm,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,q24-34,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,cgtnjyggtm,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,q24-35,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,cgtnjyggtm,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,q24-36,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,cgtnjyggtm,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,q24-37,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,cgtnjyggtm,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,q24-38,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,cgtnjyggtm,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,q24-39,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,cgtnjyggtm,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,q24-4,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,cgtnjyggtm,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,q24-40,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,cgtnjyggtm,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,q24-41,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,cgtnjyggtm,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,q24-42,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,cgtnjyggtm,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,q24-43,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,cgtnjyggtm,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,q24-44,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,cgtnjyggtm,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,q24-45,PASS,PASS_NONE
