cell_id,column,cscan_x0,cscan_x1,cscan_y0,cscan_y1,dataset_id,round_trip_max_abs_error_px,round_trip_status,row,specimen_id,surface_x0,surface_x1,surface_y0,surface_y1,transform_sha256
53,5,421.250000000000,505.500000000000,504.750000000000,588.875000000000,ykhs7s2dck,0,PASS,6,q8-5,2517.000000000000,2936.500000000000,839.000000000000,1258.500000000000,4034002b850728a7400311a9f4252828a94c55ebe6b35cedee9a1d50bb7f5486
54,6,505.500000000000,589.750000000000,504.750000000000,588.875000000000,ykhs7s2dck,0,PASS,6,q8-5,2517.000000000000,2936.500000000000,419.500000000000,839.000000000000,4034002b850728a7400311a9f4252828a94c55ebe6b35cedee9a1d50bb7f5486
55,7,589.750000000000,674.000000000000,504.750000000000,588.875000000000,ykhs7s2dck,0,PASS,6,q8-5,2517.000000000000,2936.500000000000,0.000000000000,419.500000000000,4034002b850728a7400311a9f4252828a94c55ebe6b35cedee9a1d50bb7f5486
56,0,0.000000000000,84.250000000000,588.875000000000,673.000000000000,ykhs7s2dck,0,PASS,7,q8-5,2936.500000000000,3356.000000000000,2936.500000000000,3356.000000000000,4034002b850728a7400311a9f4252828a94c55ebe6b35cedee9a1d50bb7f5486
57,1,84.250000000000,168.500000000000,588.875000000000,673.000000000000,ykhs7s2dck,0,PASS,7,q8-5,2936.500000000000,3356.000000000000,2517.000000000000,2936.500000000000,4034002b850728a7400311a9f4252828a94c55ebe6b35cedee9a1d50bb7f5486
58,2,168.500000000000,252.750000000000,588.875000000000,673.000000000000,ykhs7s2dck,0,PASS,7,q8-5,2936.500000000000,3356.000000000000,2097.500000000000,2517.000000000000,4034002b850728a7400311a9f4252828a94c55ebe6b35cedee9a1d50bb7f5486
59,3,252.750000000000,337.000000000000,588.875000000000,673.000000000000,ykhs7s2dck,0,PASS,7,q8-5,2936.500000000000,3356.000000000000,1678.000000000000,2097.500000000000,4034002b850728a7400311a9f4252828a94c55ebe6b35cedee9a1d50bb7f5486
6,6,505.500000000000,589.750000000000,0.000000000000,84.125000000000,ykhs7s2dck,0,PASS,0,q8-5,0.000000000000,419.500000000000,419.500000000000,839.000000000000,4034002b850728a7400311a9f4252828a94c55ebe6b35cedee9a1d50bb7f5486
60,4,337.000000000000,421.250000000000,588.875000000000,673.000000000000,ykhs7s2dck,0,PASS,7,q8-5,2936.500000000000,3356.000000000000,1258.500000000000,1678.000000000000,4034002b850728a7400311a9f4252828a94c55ebe6b35cedee9a1d50bb7f5486
61,5,421.250000000000,505.500000000000,588.875000000000,673.000000000000,ykhs7s2dck,0,PASS,7,q8-5,2936.500000000000,3356.000000000000,839.000000000000,1258.500000000000,4034002b850728a7400311a9f4252828a94c55ebe6b35cedee9a1d50bb7f5486
62,6,505.500000000000,589.750000000000,588.875000000000,673.000000000000,ykhs7s2dck,0,PASS,7,q8-5,2936.500000000000,3356.000000000000,419.500000000000,839.000000000000,4034002b850728a7400311a9f4252828a94c55ebe6b35cedee9a1d50bb7f5486
