specimen_id,dataset_id,pair,normalized_topk_centroid_distance,topk_mean_radial_difference
q24-26,cgtnjyggtm,ridge__huber,0.064536278778946,0
q24-26,cgtnjyggtm,ridge__shallow_mlp,0.123296387485659,0.035788210768438
q24-27,cgtnjyggtm,huber__shallow_mlp,0.161340696947366,0.319218076596257
q24-27,cgtnjyggtm,ridge__huber,0.045634040357139,0.053174515825796
q24-27,cgtnjyggtm,ridge__shallow_mlp,0.173769248631902,0.266043560770461
q24-28,cgtnjyggtm,huber__shallow_mlp,0.129072557557893,0.127180803263937
q24-28,cgtnjyggtm,ridge__huber,0.091268080714277,0.017895803558823
q24-28,cgtnjyggtm,ridge__shallow_mlp,0.091268080714277,0.145076606822761
q24-29,cgtnjyggtm,huber__shallow_mlp,0.214528531037027,0.068347557742488
q24-29,cgtnjyggtm,ridge__huber,0.032268139389473,0.091685488236365
q24-29,cgtnjyggtm,ridge__shallow_mlp,0.192530227184829,0.160033045978853
q24-3,cgtnjyggtm,huber__shallow_mlp,0.02886150127292,0.025225877091832
q24-3,cgtnjyggtm,ridge__huber,0.020408163265306,0.025225877091832
q24-3,cgtnjyggtm,ridge__shallow_mlp,0.020408163265306,0
q24-30,cgtnjyggtm,huber__shallow_mlp,0.01443075063646,0.227419563146938
q24-30,cgtnjyggtm,ridge__huber,0,0
q24-30,cgtnjyggtm,ridge__shallow_mlp,0.01443075063646,0.227419563146938
q24-31,cgtnjyggtm,huber__shallow_mlp,0.064536278778947,0.138039429030616
q24-31,cgtnjyggtm,ridge__huber,0.260154056815958,0.349045214262867
q24-31,cgtnjyggtm,ridge__shallow_mlp,0.206616905421598,0.211005785232251
q24-32,cgtnjyggtm,huber__shallow_mlp,0.116344431132565,0.040816326530612
q24-32,cgtnjyggtm,ridge__huber,0,0
q24-32,cgtnjyggtm,ridge__shallow_mlp,0.116344431132565,0.040816326530612
q24-33,cgtnjyggtm,huber__shallow_mlp,0.123296387485659,0.038510972410569
q24-33,cgtnjyggtm,ridge__huber,0.040816326530612,0.040816326530612
q24-33,cgtnjyggtm,ridge__shallow_mlp,0.161340696947366,0.079327298941181
q24-34,cgtnjyggtm,huber__shallow_mlp,0.040816326530612,0.023743851447696
q24-34,cgtnjyggtm,ridge__huber,0.01443075063646,0.025225877091832
q24-34,cgtnjyggtm,ridge__shallow_mlp,0.052030811363192,0.001482025644136
q24-35,cgtnjyggtm,huber__shallow_mlp,0.061224489795918,0.191723443357878
q24-35,cgtnjyggtm,ridge__huber,0.059499509131075,0.056406775969392
q24-35,cgtnjyggtm,ridge__shallow_mlp,0.059499509131074,0.135316667388486
q24-36,cgtnjyggtm,huber__shallow_mlp,0.09680441816842,0.09219498673783
q24-36,cgtnjyggtm,ridge__huber,0.077711970467999,0.081632653061225
q24-36,cgtnjyggtm,ridge__shallow_mlp,0.163265306122449,0.010562333676606
q24-37,cgtnjyggtm,huber__shallow_mlp,0.116344431132565,0.020597630967378
q24-37,cgtnjyggtm,ridge__huber,0.02886150127292,0.046353940794252
q24-37,cgtnjyggtm,ridge__shallow_mlp,0.105057450418235,0.025756309826874
q24-38,cgtnjyggtm,huber__shallow_mlp,0.081632653061224,0.075781208823143
q24-38,cgtnjyggtm,ridge__huber,0.032268139389473,0.040816326530612
q24-38,cgtnjyggtm,ridge__shallow_mlp,0.052030811363192,0.034964882292531
q24-39,cgtnjyggtm,huber__shallow_mlp,0.133044947044952,0.003362823240919
q24-39,cgtnjyggtm,ridge__huber,0.315172351254704,0.12475433371188
q24-39,cgtnjyggtm,ridge__shallow_mlp,0.389897411725363,0.128117156952799
q24-4,cgtnjyggtm,huber__shallow_mlp,0.072153753182301,0.040816326530612
q24-4,cgtnjyggtm,ridge__huber,0.073582679091102,0.078400392917628
q24-4,cgtnjyggtm,ridge__shallow_mlp,0.123296387485659,0.037584066387016
q24-40,cgtnjyggtm,huber__shallow_mlp,0.045634040357139,0
q24-40,cgtnjyggtm,ridge__huber,0.032268139389473,0.025225877091832
q24-40,cgtnjyggtm,ridge__shallow_mlp,0.01443075063646,0.025225877091832
q24-41,cgtnjyggtm,huber__shallow_mlp,0.04329225190938,0.005158678859497
q24-41,cgtnjyggtm,ridge__huber,0.092401889164668,0.025756309826874
q24-41,cgtnjyggtm,ridge__shallow_mlp,0.073582679091102,0.020597630967378
q24-42,cgtnjyggtm,huber__shallow_mlp,0.072153753182301,0.069691871288128
q24-42,cgtnjyggtm,ridge__huber,0.032268139389473,0.040816326530612
q24-42,cgtnjyggtm,ridge__shallow_mlp,0.045634040357138,0.028875544757516
q24-43,cgtnjyggtm,huber__shallow_mlp,0.045634040357139,0.07660453729905
q24-43,cgtnjyggtm,ridge__huber,0.032268139389473,0.012358189295183
q24-43,cgtnjyggtm,ridge__shallow_mlp,0.01443075063646,0.088962726594234
q24-44,cgtnjyggtm,huber__shallow_mlp,0.072153753182301,0.122448979591837
q24-44,cgtnjyggtm,ridge__huber,0.052030811363192,0.038510972410569
q24-44,cgtnjyggtm,ridge__shallow_mlp,0.102040816326531,0.083938007181268
q24-45,cgtnjyggtm,huber__shallow_mlp,0.072153753182301,0.206508102205118
q24-45,cgtnjyggtm,ridge__huber,0.032268139389473,0
q24-45,cgtnjyggtm,ridge__shallow_mlp,0.102040816326531,0.206508102205118
q24-46,cgtnjyggtm,huber__shallow_mlp,0.064536278778946,0.053174515825796
q24-46,cgtnjyggtm,ridge__huber,0,0
q24-46,cgtnjyggtm,ridge__shallow_mlp,0.064536278778947,0.053174515825796
q24-47,cgtnjyggtm,huber__shallow_mlp,0.059499509131075,0.013285095318736
q24-47,cgtnjyggtm,ridge__huber,0,0
q24-47,cgtnjyggtm,ridge__shallow_mlp,0.059499509131075,0.013285095318736
q24-48,cgtnjyggtm,huber__shallow_mlp,0.168907605686192,0.310237949762225
q24-48,cgtnjyggtm,ridge__huber,0.052030811363192,0.027948638733963
q24-48,cgtnjyggtm,ridge__shallow_mlp,0.118999018262149,0.282289311028262
q24-49,cgtnjyggtm,huber__shallow_mlp,0.105057450418235,0.093990842356408
q24-49,cgtnjyggtm,ridge__huber,0,0
q24-49,cgtnjyggtm,ridge__shallow_mlp,0.105057450418235,0.093990842356408
q24-5,cgtnjyggtm,huber__shallow_mlp,0.102040816326531,0.039992998054705
q24-5,cgtnjyggtm,ridge__huber,0.072153753182301,0.039992998054705
q24-5,cgtnjyggtm,ridge__shallow_mlp,0.072153753182301,0
q24-50,cgtnjyggtm,huber__shallow_mlp,0.104061622726383,0.03118089887756
q24-50,cgtnjyggtm,ridge__huber,0,0
q24-50,cgtnjyggtm,ridge__shallow_mlp,0.104061622726383,0.03118089887756
q24-6,cgtnjyggtm,huber__shallow_mlp,0.059499509131074,0.111886645915231
q24-6,cgtnjyggtm,ridge__huber,0.043292251909381,0.053174515825796
q24-6,cgtnjyggtm,ridge__shallow_mlp,0.081632653061224,0.165061161741027
q24-7,cgtnjyggtm,huber__shallow_mlp,0.109901322594582,0.38454052929044
q24-7,cgtnjyggtm,ridge__huber,0.101015254455221,0
q24-7,cgtnjyggtm,ridge__shallow_mlp,0.206616905421598,0.38454052929044
q24-8,cgtnjyggtm,huber__shallow_mlp,0.158738257001062,0.224403905763942
q24-8,cgtnjyggtm,ridge__huber,0.01443075063646,0.01559044943878
q24-8,cgtnjyggtm,ridge__shallow_mlp,0.159392850528707,0.208813456325162
q24-9,cgtnjyggtm,huber__shallow_mlp,0.091268080714277,0.081632653061224
q24-9,cgtnjyggtm,ridge__huber,0,0
q24-9,cgtnjyggtm,ridge__shallow_mlp,0.091268080714277,0.081632653061224
q16-1,w68dtmpfyf,huber__shallow_mlp,0.052030811363192,0.056406775969392
q16-1,w68dtmpfyf,ridge__huber,0,0
q16-1,w68dtmpfyf,ridge__shallow_mlp,0.052030811363192,0.056406775969392
q16-10,w68dtmpfyf,huber__shallow_mlp,0.073582679091102,0.059639036112988
q16-10,w68dtmpfyf,ridge__huber,0,0
q16-10,w68dtmpfyf,ridge__shallow_mlp,0.073582679091102,0.059639036112988
q16-11,w68dtmpfyf,huber__shallow_mlp,0.077711970467999,0.054610920350814
q16-11,w68dtmpfyf,ridge__huber,0.032268139389473,0.028458137235429
q16-11,w68dtmpfyf,ridge__shallow_mlp,0.086584503818761,0.026152783115385
q16-12,w68dtmpfyf,huber__shallow_mlp,0.249113379912933,0.188085262260462
q16-12,w68dtmpfyf,ridge__huber,0.052030811363192,0.01559044943878
q16-12,w68dtmpfyf,ridge__shallow_mlp,0.297497545655372,0.172494812821682
q16-13,w68dtmpfyf,huber__shallow_mlp,0.188153968516181,0.045017717467671
