scope,outer_domain,nominal_checkpoint,metric,control_mode,direction,estimate,bootstrap_mean,ci95_lower,ci95_upper,fraction_above_zero,bootstrap_replicates,seed,fraction_below_zero
domain,w68dtmpfyf,0.0625,real_minus_control_mae,positions_only,negative_favors_real,0.041673873402783154,0.04154975312822508,0.023220612501274843,0.06111143870364933,1.0,5000,20250826,0.0
domain,xcmzfsbd9t,0.0625,real_minus_control_mae,positions_only,negative_favors_real,0.030485457830048385,0.030120806988797766,0.0017961339353073703,0.05882982829743692,0.9838,5000,20250826,0.0162
domain,yfxyg8jm46,0.0625,real_minus_control_mae,positions_only,negative_favors_real,0.0073963512391609365,0.007486469946091682,-0.007719959840160784,0.022310329032873905,0.8366,5000,20250826,0.1634
domain,ykhs7s2dck,0.0625,real_minus_control_mae,positions_only,negative_favors_real,0.04358521135377133,0.04355974552261433,0.026285465577306245,0.05970833310323587,1.0,5000,20250826,0.0
equal_domain,__equal_domain__,0.0625,real_minus_control_mae,positions_only,negative_favors_real,0.018001549851442204,0.017854174900775004,0.009407571545233947,0.026351405749619125,1.0,5000,20250826,0.0
domain,74t7kcdgkr,0.09375,real_minus_control_mae,positions_only,negative_favors_real,-0.038067662473602215,-0.038388003039127774,-0.06125184081666904,-0.015552271808676002,0.001,5000,20250826,0.999
domain,cgtnjyggtm,0.09375,real_minus_control_mae,positions_only,negative_favors_real,0.023617338675544164,0.023476843075345734,0.003677432848780902,0.04323208599218224,0.9902,5000,20250826,0.0098
domain,w68dtmpfyf,0.09375,real_minus_control_mae,positions_only,negative_favors_real,0.04193680323324455,0.04181314891048299,0.02347196321593425,0.06149398364234137,1.0,5000,20250826,0.0
domain,xcmzfsbd9t,0.09375,real_minus_control_mae,positions_only,negative_favors_real,0.030235903006903556,0.029871119180469276,0.0015722513766449832,0.058625448758346146,0.9832,5000,20250826,0.0168
domain,yfxyg8jm46,0.09375,real_minus_control_mae,positions_only,negative_favors_real,0.007206735377974477,0.007295079933949264,-0.007995116510496073,0.02217945680075815,0.8302,5000,20250826,0.1698
domain,ykhs7s2dck,0.09375,real_minus_control_mae,positions_only,negative_favors_real,0.04307643442082125,0.04305090822021246,0.02577287664738319,0.05923748631451036,1.0,5000,20250826,0.0
equal_domain,__equal_domain__,0.09375,real_minus_control_mae,positions_only,negative_favors_real,0.018000925373480973,0.017853182713555325,0.009431465011151415,0.026340832800980565,1.0,5000,20250826,0.0
domain,74t7kcdgkr,0.125,real_minus_control_mae,positions_only,negative_favors_real,-0.03779733837823021,-0.038116962023032636,-0.06085657561384308,-0.015373599303246624,0.001,5000,20250826,0.999
domain,cgtnjyggtm,0.125,real_minus_control_mae,positions_only,negative_favors_real,0.02383216937263996,0.02369044204420444,0.003904651174909911,0.043321894728521264,0.991,5000,20250826,0.009
domain,w68dtmpfyf,0.125,real_minus_control_mae,positions_only,negative_favors_real,0.04219084842224978,0.042067190305376256,0.02367239090276161,0.0617821927168664,1.0,5000,20250826,0.0
domain,xcmzfsbd9t,0.125,real_minus_control_mae,positions_only,negative_favors_real,0.02988825392267755,0.029523691315554833,0.0012663361414743507,0.05838884966176797,0.981,5000,20250826,0.019
domain,yfxyg8jm46,0.125,real_minus_control_mae,positions_only,negative_favors_real,0.00699086541200461,0.007077166314777277,-0.008329853170879309,0.022003628068250725,0.8214,5000,20250826,0.1786
domain,ykhs7s2dck,0.125,real_minus_control_mae,positions_only,negative_favors_real,0.0425576824956594,0.04253182175448343,0.025252334301957467,0.05871313683745453,1.0,5000,20250826,0.0
equal_domain,__equal_domain__,0.125,real_minus_control_mae,positions_only,negative_favors_real,0.01794374687450018,0.01779555828522727,0.009401428653455345,0.026314901221496587,1.0,5000,20250826,0.0
domain,74t7kcdgkr,0.1875,real_minus_control_mae,positions_only,negative_favors_real,-0.0376286503062659,-0.03794587437594603,-0.06063180568682864,-0.015412175331127934,0.001,5000,20250826,0.999
domain,cgtnjyggtm,0.1875,real_minus_control_mae,positions_only,negative_favors_real,0.02426671555046339,0.024123035899723942,0.004590277808286053,0.04369312680326119,0.9924,5000,20250826,0.0076
domain,w68dtmpfyf,0.1875,real_minus_control_mae,positions_only,negative_favors_real,0.042623380577242666,0.04249959171173945,0.024010208615196017,0.06239898046630844,1.0,5000,20250826,0.0
domain,xcmzfsbd9t,0.1875,real_minus_control_mae,positions_only,negative_favors_real,0.029058376562987598,0.028694351305487954,0.0004214856602138184,0.0576840110006987,0.9772,5000,20250826,0.0228
domain,yfxyg8jm46,0.1875,real_minus_control_mae,positions_only,negative_favors_real,0.006483040299425785,0.0065656030221158575,-0.00912771604376044,0.021726174331042864,0.8008,5000,20250826,0.1992
domain,ykhs7s2dck,0.1875,real_minus_control_mae,positions_only,negative_favors_real,0.04142826853667954,0.041401181880101556,0.024068089869609656,0.05759593638318862,1.0,5000,20250826,0.0
equal_domain,__equal_domain__,0.1875,real_minus_control_mae,positions_only,negative_favors_real,0.01770518853675553,0.01755631490720379,0.009192359904722626,0.026059533135758796,1.0,5000,20250826,0.0
domain,74t7kcdgkr,0.25,real_minus_control_mae,positions_only,negative_favors_real,-0.03767982869030108,-0.03799350384633409,-0.060504925109930184,-0.01564691146008164,0.001,5000,20250826,0.999
domain,cgtnjyggtm,0.25,real_minus_control_mae,positions_only,negative_favors_real,0.024671295311506553,0.024525748570021984,0.0049731112752381965,0.04399033081554804,0.994,5000,20250826,0.006
domain,w68dtmpfyf,0.25,real_minus_control_mae,positions_only,negative_favors_real,0.043029177946045105,0.042905183552117435,0.024290191010982388,0.0628613988871713,1.0,5000,20250826,0.0
domain,xcmzfsbd9t,0.25,real_minus_control_mae,positions_only,negative_favors_real,0.028166021819430342,0.027801931946871694,-0.00044821974372637446,0.057039087995639406,0.9722,5000,20250826,0.0278
domain,yfxyg8jm46,0.25,real_minus_control_mae,positions_only,negative_favors_real,0.00591305206265752,0.005992389677859003,-0.009863004616106825,0.021352888622799344,0.7754,5000,20250826,0.2246
domain,ykhs7s2dck,0.25,real_minus_control_mae,positions_only,negative_favors_real,0.04031798921248034,0.04028927023739074,0.0229618659473597,0.05649466081080217,1.0,5000,20250826,0.0
equal_domain,__equal_domain__,0.25,real_minus_control_mae,positions_only,negative_favors_real,0.01740295127696979,0.017253503356321125,0.008897572272152546,0.025820105390812708,1.0,5000,20250826,0.0
domain,74t7kcdgkr,0.03125,real_minus_control_mae,reconstruction,negative_favors_real,0.040487906370249196,0.040428449992975346,0.017460306070428117,0.06395862421622764,1.0,5000,20250826,0.0
domain,cgtnjyggtm,0.03125,real_minus_control_mae,reconstruction,negative_favors_real,0.023497873558886828,0.023298623509800505,0.004311399432668092,0.042659837093472104,0.9912,5000,20250826,0.0088
domain,w68dtmpfyf,0.03125,real_minus_control_mae,reconstruction,negative_favors_real,-0.009734684538609442,-0.009875127297563248,-0.026078903461736018,0.0063367601409736905,0.1218,5000,20250826,0.8782
domain,xcmzfsbd9t,0.03125,real_minus_control_mae,reconstruction,negative_favors_real,0.05443324802130099,0.054213659224100215,0.027371242176706126,0.08481888224842873,1.0,5000,20250826,0.0
domain,yfxyg8jm46,0.03125,real_minus_control_mae,reconstruction,negative_favors_real,0.021328843976295697,0.021216289646956335,-0.0020848561576032936,0.04540281122069656,0.9636,5000,20250826,0.0364
domain,ykhs7s2dck,0.03125,real_minus_control_mae,reconstruction,negative_favors_real,0.08778228633069178,0.0879047244431713,0.06094516750871243,0.11486202326602303,1.0,5000,20250826,0.0
equal_domain,__equal_domain__,0.03125,real_minus_control_mae,reconstruction,negative_favors_real,0.036299245619802516,0.03619776991990674,0.026746975605142036,0.04598368144697848,1.0,5000,20250826,0.0
domain,74t7kcdgkr,0.0625,real_minus_control_mae,reconstruction,negative_favors_real,0.04430668198174207,0.04424353337618311,0.024178704796077286,0.06503191345231685,1.0,5000,20250826,0.0
domain,cgtnjyggtm,0.0625,real_minus_control_mae,reconstruction,negative_favors_real,0.02764485153489485,0.02744616308194507,0.00973213561563869,0.04496495383599993,1.0,5000,20250826,0.0
domain,w68dtmpfyf,0.0625,real_minus_control_mae,reconstruction,negative_favors_real,-0.012805124701635348,-0.012910725599659298,-0.028460990815342396,0.0028440491881932114,0.057,5000,20250826,0.943
domain,xcmzfsbd9t,0.0625,real_minus_control_mae,reconstruction,negative_favors_real,0.04613202716660661,0.04594301483267919,0.019612500585540486,0.07609965296655893,1.0,5000,20250826,0.0
domain,yfxyg8jm46,0.0625,real_minus_control_mae,reconstruction,negative_favors_real,0.03694494702723168,0.03685501070816618,0.012109928183269014,0.0613174364127062,0.9982,5000,20250826,0.0018
