specimen_id,dataset_id,learner,initial_budget,current_absolute_error,mechanical_oracle_cell,mechanical_oracle_added_measurements,mechanical_oracle_error_after,mechanical_oracle_improvement,reconstruction_oracle_cell,reconstruction_oracle_added_measurements,reconstruction_action_error_after,mechanical_headroom_over_reconstruction,candidate_bank_state_sha256,predictor_state_sha256
c8-25,74t7kcdgkr,huber,0.03125,0.03062882819668,55,1706,0.024846847594347,0.005781980602333,63,1728,0.026338172884383,0.001491325290036,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,af745a12b0d492c72f93a172fb93fd9fccc1981c1ebe784e7819e71a56ab037b
c8-25,74t7kcdgkr,ridge,0.03125,0.029255597261635,62,1706,0.024230619710149,0.005024977551486,63,1728,0.025024201756567,0.000793582046418,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,0f675551a2d8f62e14bc4b63bc38a8f2e33eb32237cd3bb2a6fe3a43eeb3e63e
c8-25,74t7kcdgkr,shallow_mlp,0.03125,0.204525516250011,7,1662,0.188481005840377,0.016044510409634,63,1728,0.194622625146367,0.00614161930599,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,c37a42dc23634d63c56066dc90c5723ddb293554a333566c8f8bce262c83eee4
c8-26,74t7kcdgkr,huber,0.03125,0.030543092029596,28,1603,0.024497431737539,0.006045660292057,63,1728,0.026464062995959,0.001966631258419,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,af745a12b0d492c72f93a172fb93fd9fccc1981c1ebe784e7819e71a56ab037b
c8-26,74t7kcdgkr,ridge,0.03125,0.039906369524191,28,1603,0.03237947713168,0.007526892392512,63,1728,0.035859690609455,0.003480213477775,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,0f675551a2d8f62e14bc4b63bc38a8f2e33eb32237cd3bb2a6fe3a43eeb3e63e
c8-26,74t7kcdgkr,shallow_mlp,0.03125,0.187989246224417,43,1560,0.180159948099096,0.007829298125321,63,1728,0.180753065304384,0.000593117205289,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,c37a42dc23634d63c56066dc90c5723ddb293554a333566c8f8bce262c83eee4
c8-27,74t7kcdgkr,huber,0.03125,0.013113104744824,28,1603,0.005844544750342,0.007268559994483,63,1728,0.013995444513323,0.008150899762982,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,af745a12b0d492c72f93a172fb93fd9fccc1981c1ebe784e7819e71a56ab037b
c8-27,74t7kcdgkr,ridge,0.03125,0.01452346613085,35,1560,0.006006773113855,0.008516693016995,63,1728,0.0150595145182,0.009052741404345,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,0f675551a2d8f62e14bc4b63bc38a8f2e33eb32237cd3bb2a6fe3a43eeb3e63e
c8-27,74t7kcdgkr,shallow_mlp,0.03125,0.069908578562366,36,1603,0.061210273406431,0.008698305155935,63,1728,0.071390184381167,0.010179910974736,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,c37a42dc23634d63c56066dc90c5723ddb293554a333566c8f8bce262c83eee4
c8-28,74t7kcdgkr,huber,0.03125,0.025543948283312,27,1560,0.023053673009279,0.002490275274034,63,1728,0.025869630043666,0.002815957034388,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,af745a12b0d492c72f93a172fb93fd9fccc1981c1ebe784e7819e71a56ab037b
c8-28,74t7kcdgkr,ridge,0.03125,0.024789225913502,27,1560,0.02146242963479,0.003326796278711,63,1728,0.025278805991671,0.003816376356881,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,0f675551a2d8f62e14bc4b63bc38a8f2e33eb32237cd3bb2a6fe3a43eeb3e63e
c8-28,74t7kcdgkr,shallow_mlp,0.03125,0.08911620863577,28,1603,0.074434176617238,0.014682032018532,63,1728,0.086263028875726,0.011828852258488,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,c37a42dc23634d63c56066dc90c5723ddb293554a333566c8f8bce262c83eee4
c8-29,74t7kcdgkr,huber,0.03125,0.003246441119742,27,1560,0.000387809409705,0.002858631710037,63,1728,0.002086275526011,0.001698466116305,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,af745a12b0d492c72f93a172fb93fd9fccc1981c1ebe784e7819e71a56ab037b
c8-29,74t7kcdgkr,ridge,0.03125,0.004010113475516,27,1560,0.00128185776319,0.002728255712326,63,1728,0.00282400555624,0.00154214779305,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,0f675551a2d8f62e14bc4b63bc38a8f2e33eb32237cd3bb2a6fe3a43eeb3e63e
c8-29,74t7kcdgkr,shallow_mlp,0.03125,0.134166432881861,53,1628,0.125408515522538,0.008757917359323,63,1728,0.130695555727333,0.005287040204795,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,c37a42dc23634d63c56066dc90c5723ddb293554a333566c8f8bce262c83eee4
c8-3,74t7kcdgkr,huber,0.03125,0.08644125688762,35,425,0.053640098390898,0.032801158496722,35,425,0.053640098390898,0,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,af745a12b0d492c72f93a172fb93fd9fccc1981c1ebe784e7819e71a56ab037b
c8-3,74t7kcdgkr,ridge,0.03125,0.075654132734072,35,425,0.047541373209794,0.028112759524278,35,425,0.047541373209794,0,e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,0f675551a2d8f62e14bc4b63bc38a8f2e33eb32237cd3bb2a6fe3a43eeb3e63e
