target_id,target_mae,source_method,source_budget,grid,method,cost,attained_mae,status,later_recrosses_target,main_cost,absolute_saving,relative_saving
ANCHOR_CENTER_FIRST_0.1875,49.09352935791016,CENTER_FIRST,0.1875,PRIMARY_FIVE_BUDGETS,VLM_SPATIAL_FEEDBACK,0.0625,46.98702209472656,REACHED,False,0.0625,0.0,0.0
ANCHOR_CENTER_FIRST_0.1875,49.09352935791016,CENTER_FIRST,0.1875,PRIMARY_FIVE_BUDGETS,VLM_SPATIAL_OPEN_LOOP,0.0625,44.70976043701172,REACHED,False,0.0625,0.0,0.0
ANCHOR_CENTER_FIRST_0.1875,49.09352935791016,CENTER_FIRST,0.1875,PRIMARY_FIVE_BUDGETS,FULL_SCAN_P_ALL,1.0,41.69001007080078,REACHED,False,0.0625,0.9375,0.9375
ANCHOR_CENTER_FIRST_0.1875,49.09352935791016,CENTER_FIRST,0.1875,SECONDARY_EVENT_GRID,CENTER_FIRST,0.046897461259479065,48.85898315429687,REACHED,True,0.03138806462248599,0.015509396636993078,0.3307086614173229
ANCHOR_CENTER_FIRST_0.1875,49.09352935791016,CENTER_FIRST,0.1875,SECONDARY_EVENT_GRID,GEOMETRY_SPREAD,0.0777316188592153,47.837416076660155,REACHED,False,0.03138806462248599,0.04634355423672931,0.5961995249406176
ANCHOR_CENTER_FIRST_0.1875,49.09352935791016,CENTER_FIRST,0.1875,SECONDARY_EVENT_GRID,SERPENTINE,0.10911968348170129,48.82163482666016,REACHED,True,0.03138806462248599,0.0777316188592153,0.7123519458544839
ANCHOR_CENTER_FIRST_0.1875,49.09352935791016,CENTER_FIRST,0.1875,SECONDARY_EVENT_GRID,RANDOM,0.12500054951093525,48.80570129394531,REACHED,False,0.03138806462248599,0.09361248488844927,0.7488965868926831
ANCHOR_CENTER_FIRST_0.1875,49.09352935791016,CENTER_FIRST,0.1875,SECONDARY_EVENT_GRID,LEARNED_STATIC_TRUE,0.0621301775147929,48.893489074707034,REACHED,False,0.03138806462248599,0.03074211289230691,0.49480162655236837
ANCHOR_CENTER_FIRST_0.1875,49.09352935791016,CENTER_FIRST,0.1875,SECONDARY_EVENT_GRID,NO_VLM_SPATIAL_FEEDBACK,0.015715280194918205,48.84876586914063,REACHED,False,0.03138806462248599,-0.015672784427567782,-0.9972958950255202
ANCHOR_CENTER_FIRST_0.1875,49.09352935791016,CENTER_FIRST,0.1875,SECONDARY_EVENT_GRID,VLM_MEAN_FEEDBACK,0.03106508875739645,47.672654418945314,REACHED,False,0.03138806462248599,-0.00032297586508953785,-0.010396746895263265
ANCHOR_CENTER_FIRST_0.1875,49.09352935791016,CENTER_FIRST,0.1875,SECONDARY_EVENT_GRID,VLM_SPATIAL_FEEDBACK,0.03138806462248599,45.35416320800781,REACHED,False,0.03138806462248599,0.0,0.0
ANCHOR_CENTER_FIRST_0.1875,49.09352935791016,CENTER_FIRST,0.1875,SECONDARY_EVENT_GRID,VLM_SPATIAL_OPEN_LOOP,0.015694032311242993,47.1242431640625,REACHED,False,0.03138806462248599,-0.015694032311242993,-1.0
