outer_domain,specimen_id,nominal_checkpoint,feedback_exact_cost,feedback_effective_budget,feedback_cai_error,feedback_trajectory_count,no_feedback_exact_cost,no_feedback_effective_budget,no_feedback_cai_error,no_feedback_trajectory_count,feedback_benefit,exact_cost_difference
cgtnjyggtm,q24-48,0.125,56043,0.123184965380811,0.537218071713334,1,56031,0.123158588855918,0.53721241316101,1,-0.000005658552324,-12
cgtnjyggtm,q24-48,0.1875,84335,0.185372018903176,0.536212155688929,1,84439,0.185600615452248,0.536276627781323,1,0.000064472092394,104
cgtnjyggtm,q24-48,0.25,112507,0.247295307176613,0.53522988105951,1,112243,0.24671502362897,0.535191785023852,1,-0.000038096035658,-264
cgtnjyggtm,q24-49,0.03125,13820,0.030376964501594,0.481043159628583,1,13820,0.030376964501594,0.481043159628583,1,0,0
cgtnjyggtm,q24-49,0.0625,27924,0.061378173425651,0.480644063825439,1,28009,0.061565007143642,0.480659287589729,1,0.00001522376429,85
cgtnjyggtm,q24-49,0.09375,41938,0.092181558413012,0.480211633228075,1,42023,0.092368392131003,0.48024098200863,1,0.000029348780555,85
cgtnjyggtm,q24-49,0.125,56031,0.123158588855918,0.479987775526469,1,56051,0.12320254973074,0.480026994726775,1,0.000039219200306,20
cgtnjyggtm,q24-49,0.1875,84335,0.185372018903176,0.479354206894976,1,84439,0.185600615452248,0.479412300144674,1,0.000058093249698,104
cgtnjyggtm,q24-49,0.25,112507,0.247295307176613,0.478416871059744,1,112243,0.24671502362897,0.47852437744975,1,0.000107506390006,-264
cgtnjyggtm,q24-5,0.03125,13820,0.030376964501594,0.008419343163209,1,13820,0.030376964501594,0.008419343163209,1,0,0
cgtnjyggtm,q24-5,0.0625,27924,0.061378173425651,0.008422468490922,1,28009,0.061565007143642,0.008411603093795,1,-0.000010865397127,85
cgtnjyggtm,q24-5,0.09375,41938,0.092181558413012,0.008011548938208,1,42023,0.092368392131003,0.008004175118135,1,-0.000007373820073,85
cgtnjyggtm,q24-5,0.125,56031,0.123158588855918,0.007491651893967,1,56051,0.12320254973074,0.007591766151432,1,0.000100114257465,20
cgtnjyggtm,q24-5,0.1875,84335,0.185372018903176,0.00625748317586,1,84439,0.185600615452248,0.006307341919533,1,0.000049858743673,104
cgtnjyggtm,q24-5,0.25,112507,0.247295307176613,0.004829147369422,1,112243,0.24671502362897,0.004940621460625,1,0.000111474091203,-264
cgtnjyggtm,q24-50,0.03125,13820,0.030376964501594,0.461706509490048,1,13820,0.030376964501594,0.461706509490048,1,0,0
cgtnjyggtm,q24-50,0.0625,27924,0.061378173425651,0.461913422055459,1,28009,0.061565007143642,0.461911230663566,1,-0.000002191391893,85
cgtnjyggtm,q24-50,0.09375,41938,0.092181558413012,0.462101100426292,1,42023,0.092368392131003,0.462043443623726,1,-0.000057656802566,85
cgtnjyggtm,q24-50,0.125,56031,0.123158588855918,0.462181757687497,1,56051,0.12320254973074,0.462152497417199,1,-0.000029260270298,20
cgtnjyggtm,q24-50,0.1875,84335,0.185372018903176,0.462191759346594,1,84439,0.185600615452248,0.462163686334578,1,-0.000028073012016,104
cgtnjyggtm,q24-50,0.25,112507,0.247295307176613,0.462068736192826,1,112243,0.24671502362897,0.462229040477469,1,0.000160304284643,-264
cgtnjyggtm,q24-6,0.03125,13820,0.030376964501594,0.015475555071296,1,13820,0.030376964501594,0.015475555071296,1,0,0
cgtnjyggtm,q24-6,0.0625,27924,0.061378173425651,0.015637049666299,1,28009,0.061565007143642,0.015645745036079,1,0.00000869536978,85
cgtnjyggtm,q24-6,0.09375,41938,0.092181558413012,0.015950189801099,1,42023,0.092368392131003,0.015924424159933,1,-0.000025765641166,85
cgtnjyggtm,q24-6,0.125,56031,0.123158588855918,0.01634008358954,1,56051,0.12320254973074,0.016235623173224,1,-0.000104460416316,20
cgtnjyggtm,q24-6,0.1875,84335,0.185372018903176,0.017230566977776,1,84439,0.185600615452248,0.017151212953811,1,-0.000079354023965,104
cgtnjyggtm,q24-6,0.25,112433,0.247132651939774,0.018337688377476,1,112243,0.24671502362897,0.018162006198612,1,-0.000175682178864,-190
cgtnjyggtm,q24-7,0.03125,13820,0.030376964501594,0.131162896642958,1,13820,0.030376964501594,0.131162896642958,1,0,0
cgtnjyggtm,q24-7,0.0625,27902,0.061329816463348,0.131228015775855,1,28029,0.061608968018464,0.13121107063966,1,-0.000016945136195,127
cgtnjyggtm,q24-7,0.09375,42057,0.0924431256182,0.131124123046017,1,42057,0.0924431256182,0.13110954632223,1,-0.000014576723787,0
cgtnjyggtm,q24-7,0.125,56065,0.123233322343115,0.131034465207248,1,56065,0.123233322343115,0.13103155962914,1,-0.000002905578108,0
cgtnjyggtm,q24-7,0.1875,84005,0.184646664468623,0.13074371206344,1,84431,0.185583031102319,0.13075416237798,1,0.00001045031454,426
cgtnjyggtm,q24-7,0.25,113320,0.249082316738103,0.130526159954662,1,112403,0.247066710627542,0.130443778269474,1,-0.000082381685188,-917
cgtnjyggtm,q24-8,0.03125,13820,0.030376964501594,0.097518545243631,1,13820,0.030376964501594,0.097518545243631,1,0,0
