record_id,dataset_id,dataset_version,source_dataset_id,source_dataset_version,specimen_id_raw,specimen_key,measurement_stage,measurement_name_raw,measurement_semantics,value_raw,value_numeric,unit_raw,unit_normalized,source_kind,source_path_or_url,source_sheet,source_cell,source_sha256,extraction_method,derivation,provenance_status,notes
hasebe-acc5ffd10baaf4784525,74t7kcdgkr,1,74t7kcdgkr,1,c8-10,74t7kcdgkr:c8-10,PRE_IMPACT,ply,PLY_COUNT,8,8,,1,AUTHOR_WORKBOOK,data/public/hasebe/raw/74t7kcdgkr/v1/root/impact condition_c8.xlsx,condition,B17,c875c09c136ce8d97f2b1699a9247bbc513386eb0fc83c637c2901eaa8a296ea,DIRECT_CELL_READ,DIRECT_CELL_READ,AUTHOR_SCALAR_MEASUREMENT,
hasebe-2714365225c2064951cd,74t7kcdgkr,1,74t7kcdgkr,1,c8-10,74t7kcdgkr:c8-10,PRE_IMPACT,J/mm,IMPACT_ENERGY_PER_THICKNESS,2.2,2.2,J/mm,J/mm,AUTHOR_WORKBOOK,data/public/hasebe/raw/74t7kcdgkr/v1/root/impact condition_c8.xlsx,condition,E17,c875c09c136ce8d97f2b1699a9247bbc513386eb0fc83c637c2901eaa8a296ea,DIRECT_CELL_READ,DIRECT_CELL_READ,AUTHOR_SCALAR_MEASUREMENT,
hasebe-693fd6ff75fb443f2184,74t7kcdgkr,1,74t7kcdgkr,1,c8-11,74t7kcdgkr:c8-11,PRE_IMPACT,ply,PLY_COUNT,8,8,,1,AUTHOR_WORKBOOK,data/public/hasebe/raw/74t7kcdgkr/v1/root/impact condition_c8.xlsx,condition,B18,c875c09c136ce8d97f2b1699a9247bbc513386eb0fc83c637c2901eaa8a296ea,DIRECT_CELL_READ,DIRECT_CELL_READ,AUTHOR_SCALAR_MEASUREMENT,
hasebe-751d8e37bcab3dbf7f45,74t7kcdgkr,1,74t7kcdgkr,1,c8-11,74t7kcdgkr:c8-11,PRE_IMPACT,J/mm,IMPACT_ENERGY_PER_THICKNESS,2.2,2.2,J/mm,J/mm,AUTHOR_WORKBOOK,data/public/hasebe/raw/74t7kcdgkr/v1/root/impact condition_c8.xlsx,condition,E18,c875c09c136ce8d97f2b1699a9247bbc513386eb0fc83c637c2901eaa8a296ea,DIRECT_CELL_READ,DIRECT_CELL_READ,AUTHOR_SCALAR_MEASUREMENT,
hasebe-c846022da01a9de5ac44,74t7kcdgkr,1,74t7kcdgkr,1,c8-12,74t7kcdgkr:c8-12,PRE_IMPACT,ply,PLY_COUNT,8,8,,1,AUTHOR_WORKBOOK,data/public/hasebe/raw/74t7kcdgkr/v1/root/impact condition_c8.xlsx,condition,B19,c875c09c136ce8d97f2b1699a9247bbc513386eb0fc83c637c2901eaa8a296ea,DIRECT_CELL_READ,DIRECT_CELL_READ,AUTHOR_SCALAR_MEASUREMENT,
hasebe-371409422264ee55b5c5,74t7kcdgkr,1,74t7kcdgkr,1,c8-12,74t7kcdgkr:c8-12,PRE_IMPACT,J/mm,IMPACT_ENERGY_PER_THICKNESS,2.2,2.2,J/mm,J/mm,AUTHOR_WORKBOOK,data/public/hasebe/raw/74t7kcdgkr/v1/root/impact condition_c8.xlsx,condition,E19,c875c09c136ce8d97f2b1699a9247bbc513386eb0fc83c637c2901eaa8a296ea,DIRECT_CELL_READ,DIRECT_CELL_READ,AUTHOR_SCALAR_MEASUREMENT,
hasebe-e785e7874a05660639ba,74t7kcdgkr,1,74t7kcdgkr,1,c8-13,74t7kcdgkr:c8-13,PRE_IMPACT,ply,PLY_COUNT,8,8,,1,AUTHOR_WORKBOOK,data/public/hasebe/raw/74t7kcdgkr/v1/root/impact condition_c8.xlsx,condition,B20,c875c09c136ce8d97f2b1699a9247bbc513386eb0fc83c637c2901eaa8a296ea,DIRECT_CELL_READ,DIRECT_CELL_READ,AUTHOR_SCALAR_MEASUREMENT,
hasebe-e0ac14a1ce6019981b24,74t7kcdgkr,1,74t7kcdgkr,1,c8-13,74t7kcdgkr:c8-13,PRE_IMPACT,J/mm,IMPACT_ENERGY_PER_THICKNESS,3.35,3.35,J/mm,J/mm,AUTHOR_WORKBOOK,data/public/hasebe/raw/74t7kcdgkr/v1/root/impact condition_c8.xlsx,condition,E20,c875c09c136ce8d97f2b1699a9247bbc513386eb0fc83c637c2901eaa8a296ea,DIRECT_CELL_READ,DIRECT_CELL_READ,AUTHOR_SCALAR_MEASUREMENT,
hasebe-baa63eb9bef7891fa503,74t7kcdgkr,1,74t7kcdgkr,1,c8-14,74t7kcdgkr:c8-14,PRE_IMPACT,ply,PLY_COUNT,8,8,,1,AUTHOR_WORKBOOK,data/public/hasebe/raw/74t7kcdgkr/v1/root/impact condition_c8.xlsx,condition,B21,c875c09c136ce8d97f2b1699a9247bbc513386eb0fc83c637c2901eaa8a296ea,DIRECT_CELL_READ,DIRECT_CELL_READ,AUTHOR_SCALAR_MEASUREMENT,
hasebe-3032989dd944194c216a,74t7kcdgkr,1,74t7kcdgkr,1,c8-14,74t7kcdgkr:c8-14,PRE_IMPACT,J/mm,IMPACT_ENERGY_PER_THICKNESS,3.35,3.35,J/mm,J/mm,AUTHOR_WORKBOOK,data/public/hasebe/raw/74t7kcdgkr/v1/root/impact condition_c8.xlsx,condition,E21,c875c09c136ce8d97f2b1699a9247bbc513386eb0fc83c637c2901eaa8a296ea,DIRECT_CELL_READ,DIRECT_CELL_READ,AUTHOR_SCALAR_MEASUREMENT,
