specimen_id,domain_id,held_out_domain,endpoint,model,truth,prediction,residual,fold_state_sha256
c8-9,74t7kcdgkr,74t7kcdgkr,extension_peak_mm,strength_only,0.41500000000000004,0.60215657939384415,-0.18715657939384411,df583159407a218497b130f20bf0eb87bef7df019244281059c8617f38996ff0
c8-9t,74t7kcdgkr,74t7kcdgkr,extension_peak_mm,strength_only,0.46281250000000002,0.57389104009588898,-0.11107854009588897,df583159407a218497b130f20bf0eb87bef7df019244281059c8617f38996ff0
q24-1,cgtnjyggtm,cgtnjyggtm,extension_peak_mm,strength_only,1.2253125,0.98092216560465229,0.24439033439534774,f6912843a3c5dd530d47e3fa273eee39d374d859faddc00e09c34bc6e521a7c1
q24-10,cgtnjyggtm,cgtnjyggtm,extension_peak_mm,strength_only,1.1899999999999999,1.0258078810584319,0.16419211894156804,f6912843a3c5dd530d47e3fa273eee39d374d859faddc00e09c34bc6e521a7c1
q24-11,cgtnjyggtm,cgtnjyggtm,extension_peak_mm,strength_only,1.0615625,0.90827414418357144,0.15328835581642852,f6912843a3c5dd530d47e3fa273eee39d374d859faddc00e09c34bc6e521a7c1
q24-12,cgtnjyggtm,cgtnjyggtm,extension_peak_mm,strength_only,1.0587499999999999,0.92930238181456659,0.12944761818543327,f6912843a3c5dd530d47e3fa273eee39d374d859faddc00e09c34bc6e521a7c1
q24-13,cgtnjyggtm,cgtnjyggtm,extension_peak_mm,strength_only,1.6603125000000001,1.347609990412767,0.31270250958723311,f6912843a3c5dd530d47e3fa273eee39d374d859faddc00e09c34bc6e521a7c1
q24-14,cgtnjyggtm,cgtnjyggtm,extension_peak_mm,strength_only,1.66890625,1.3638004180222709,0.30510583197772911,f6912843a3c5dd530d47e3fa273eee39d374d859faddc00e09c34bc6e521a7c1
q24-15,cgtnjyggtm,cgtnjyggtm,extension_peak_mm,strength_only,1.6156250000000001,1.3592845958096897,0.25634040419031034,f6912843a3c5dd530d47e3fa273eee39d374d859faddc00e09c34bc6e521a7c1
q24-16,cgtnjyggtm,cgtnjyggtm,extension_peak_mm,strength_only,1.7224999999999999,1.3536034678628313,0.36889653213716866,f6912843a3c5dd530d47e3fa273eee39d374d859faddc00e09c34bc6e521a7c1
