specimen_id,domain_id,primary,raw_relative_path,raw_sha256,raw_size,parse_status,parse_error,internal_title,title_matches_canonical,canonical_workbook_crosscheck_count,n_rows,sampling_hz,columns,units,peak_row,extension_finite_fraction,extension_min,extension_max,load_finite_fraction,load_min,load_max,strain_fl_finite_fraction,strain_fl_min,strain_fl_max,strain_fr_finite_fraction,strain_fr_min,strain_fr_max,strain_bl_finite_fraction,strain_bl_min,strain_bl_max,strain_br_finite_fraction,strain_br_min,strain_br_max
c8-25,74t7kcdgkr,true,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-25 0000.CSV,a17c3b2f0c63caa5fc99a342f5678bf76cd55fe5da86195b1157916e83a54905,162077,PASS,,c8-25,true,3,2637,50,Extension|Load|Strain-FL|Strain-FR|Strain-BL|Strain-BR,V|V|με|με|με|με,2250,1,-0.71250000000000002,0.0018749999999999999,1,-0.81031249999999999,0.0015625000000000001,1,-5956.25,259.375,1,-6007.8130000000001,12.5,1,-8431.25,18.75,1,-2345.3130000000001,45.3125
c8-26,74t7kcdgkr,true,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-26 0000.CSV,f55135765f23df97d76b9882d78c2459c825ee722d1b20545da1d55e7f99074e,161171,PASS,,c8-26,true,3,2580,50,Extension|Load|Strain-FL|Strain-FR|Strain-BL|Strain-BR,V|V|με|με|με|με,2196,1,-0.71968750000000004,0.00093749999999999997,1,-0.82250000000000001,-0.0028124999999999999,1,-2654.6880000000001,375,1,-3112.5,498.4375,1,-6167.1880000000001,37.5,1,-5573.4380000000001,25
c8-27,74t7kcdgkr,true,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-27 0000.CSV,979b903f6a271d5ad63097d5dfc1aacfc6d434155c98bdfef8fc9796533619a2,282393,PASS,,c8-27,true,3,4530,50,Extension|Load|Strain-FL|Strain-FR|Strain-BL|Strain-BR,V|V|με|με|με|με,2187,1,-0.74437500000000001,0.00093749999999999997,1,-0.79937499999999995,0.00031250000000000001,1,-2985.9380000000001,43.75,1,-2757.8130000000001,217.1875,1,-5990.625,43.75,1,-5731.25,46.875
c8-28,74t7kcdgkr,true,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-28 0000.CSV,90378bf87ccf6f4409d55e07070d644a5e913dc5963fecdb511d7fee5fda195e,169680,PASS,,c8-28,true,3,2703,50,Extension|Load|Strain-FL|Strain-FR|Strain-BL|Strain-BR,V|V|με|με|με|με,2331,1,-0.75968749999999996,0.0015625000000000001,1,-0.86624999999999996,0.00062500000000000001,1,-6851.5630000000001,37.5,1,-6434.375,32.8125,1,-3170.3130000000001,154.6875,1,-2907.8130000000001,-37.5
c8-29,74t7kcdgkr,true,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-29 0000.CSV,dffc87391f4333b74f4e0752a4fc329bdbec17b05bb2bec971167f874c39a210,175362,PASS,,c8-29,true,3,2850,50,Extension|Load|Strain-FL|Strain-FR|Strain-BL|Strain-BR,V|V|με|με|με|με,2301,1,-0.77468749999999997,0.00062500000000000001,1,-0.8409375,0.0153125,1,-3078.125,34.375,1,-3982.8130000000001,78.125,1,-6009.375,123.4375,1,-5982.8130000000001,162.5
c8-3,74t7kcdgkr,true,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-3 0000.CSV,7a9b45c06d25f6fcd27abef5a74bb71e273b434c0b7e95aa051dfbcd2b2a9d8c,135414,PASS,,c8-3,true,3,2163,50,Extension|Load|Strain-FL|Strain-FR|Strain-BL|Strain-BR,V|V|με|με|με|με,1703,1,-0.55437499999999995,0,1,-0.65125,0.00125,1,-2214.0630000000001,7.8125,1,-2023.4380000000001,-3.125,1,-4567.1880000000001,-20.3125,1,-4276.5630000000001,3.125
c8-30,74t7kcdgkr,true,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-30 0000.CSV,c0bc1734df76aebc0612960b65ddf96e64b4a0b522274d84fa9aa27372a57d3d,160761,PASS,,c8-30,true,3,2586,50,Extension|Load|Strain-FL|Strain-FR|Strain-BL|Strain-BR,V|V|με|με|με|με,2205,1,-0.72312500000000002,0.00093749999999999997,1,-0.82968750000000002,-0.00062500000000000001,1,-3757.8130000000001,46.875,1,-3940.625,134.375,1,-5603.125,56.25,1,-5534.375,251.5625
c8-32,74t7kcdgkr,true,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-32 0000.CSV,e9c25901ee42ec819f8ee1f8610033d8ba1392b6001ba09cef039354494bd2f2,119717,PASS,,c8-32,true,3,1935,50,Extension|Load|Strain-FL|Strain-FR|Strain-BL|Strain-BR,V|V|με|με|με|με,1568,1,-0.51156250000000003,0.00125,1,-0.59875,0.00093749999999999997,1,-1873.4380000000001,9.375,1,-2190.625,0,1,-4476.5630000000001,20.3125,1,-4496.875,20.3125
c8-33,74t7kcdgkr,true,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-33 0000.CSV,aad73fda19ec63407159d23f41fbb339a721914eef72747f7a9c89391d56a19c,121886,PASS,,c8-33,true,3,1980,50,Extension|Load|Strain-FL|Strain-FR|Strain-BL|Strain-BR,V|V|με|με|με|με,1610,1,-0.53249999999999997,0.00125,1,-0.59875,0.00031250000000000001,1,-2128.125,43.75,1,-2278.125,21.875,1,-4245.3130000000001,56.25,1,-4287.5,67.1875
c8-34,74t7kcdgkr,true,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-34 0000.CSV,152220dd4721a528507457d47fc89fa3f5e1f744aac568da79ab5e5c55fe7dee,129837,PASS,,c8-34,true,3,2103,50,Extension|Load|Strain-FL|Strain-FR|Strain-BL|Strain-BR,V|V|με|με|με|με,1764,1,-0.56062500000000004,0.00093749999999999997,1,-0.65843750000000001,-0.00093749999999999997,1,-2048.4380000000001,20.3125,1,-2131.25,31.25,1,-4914.0630000000001,18.75,1,-4890.625,35.9375
