axis,outer_group,inner_group,condition_id,pca_dimension,mae,fit_count,query_count,pca_state_sha256,model_state_sha256
sampling,cgtnjyggtm,w68dtmpfyf,sampling:density=0.5,32,0.0820635224330555,184,43,4a96f4d925125884c7d24d6a8b5bb47153da2245c9ab4345447fb19f68f5f4b5,a2b8a34d93a1361761059bd5851a7b7307e1d0efab7469230861cdae2d775fa6
sampling,cgtnjyggtm,xcmzfsbd9t,sampling:density=0.5,32,0.06808500681092594,168,59,824189969e25543021b798f48b48a9242acdb2eb787b2223ad2b92b67171880f,3e50011fde52c0a54b6d867f0f534b918dace6ef9bee4202e5e4818e6f08440a
sampling,cgtnjyggtm,yfxyg8jm46,sampling:density=0.5,32,0.12251951145366949,185,42,4c09299025f0de53a473de31e7d65a253d52447e94d8e06f7c002eb620ecee2e,2d136e7049491203e272ba63799875f90eb6f30d3283e09d1dd318cc32738951
sampling,cgtnjyggtm,ykhs7s2dck,sampling:density=0.5,32,0.06386971369196623,189,38,c0de7df0dc62578deee4faa899e69b61bd4d9a4aa2a34e2f67ff02d7754ec19a,e7d8a64e5843dc240a4f14a1ec8ca80303cb7df21573838ac21ab81c62fa8568
sampling,cgtnjyggtm,74t7kcdgkr,sampling:density=0.375,32,0.048658383278162284,182,45,80552ce62cf2650ad042dcb38f8595614d7236327441b826fa831425307983de,afa8ea824650a0c9578a9109318d9cdcc9999c2d7b52a00a4185dfcb918a69a2
sampling,cgtnjyggtm,w68dtmpfyf,sampling:density=0.375,32,0.08637416534741506,184,43,b0cd22915f8aaed23371364dbba8b181b2e60aec8f79b5aeb6553f6e83e7d039,df766e8edd2c5c15503f8624a8df080e9a5bc90180ceb92268830bcea56aa129
sampling,cgtnjyggtm,xcmzfsbd9t,sampling:density=0.375,32,0.07706589830072032,168,59,6409fcbd8388fae3711567bbe033b3aa31e962963bd84aa31557e76b595bdd31,2050087d0a828c1b35b5fd4bf359894bfbe32ddb62c9eb639330515d4c7ec537
sampling,cgtnjyggtm,yfxyg8jm46,sampling:density=0.375,32,0.12343200966260426,185,42,5a9679c103185b4e6e325ad43ff271d98b95135d7ecf4d9103054e76003bc7aa,67a94061e5e4e7483f5fe66eb883631e16a3754f47de7d0cf8080d61647e0f3a
sampling,cgtnjyggtm,ykhs7s2dck,sampling:density=0.375,32,0.06801408795269674,189,38,95044ba3e0593ad1191718b46f3ab2218ba7b86e5666c5ba238dd57dd534d864,5b142bda115dc56b33a1eb7bc74b6021c970a0c507f45185f9075d0fc6604ffa
sampling,cgtnjyggtm,74t7kcdgkr,sampling:density=0.25,32,0.05511020880413559,182,45,7f13adf91729c74541545335956f1d54ee6d948496b567401eca6b0fd77626c0,2eb561485767e18c58c835f775c93bb62efb520169ca8fc8c2594df7edc29ef2
sampling,cgtnjyggtm,w68dtmpfyf,sampling:density=0.25,32,0.086580809662194,184,43,9637455d59a7f5f6a05bb7474c724291983ed4b6f7c485aa8f43d9e57d0a3fee,b5319f72cb5a7fdfe7aa24cf939e9d2c3f3a135983bb77a581e2897d7d58a632
sampling,cgtnjyggtm,xcmzfsbd9t,sampling:density=0.25,32,0.07431169322216219,168,59,7136adfd30b92d6c65b6efcd4539f3488243166da9e9a879c707b4ae1fba7b19,4aecddbcc19106710d96178815919d26ee394b53cf11b9305c04933fc741afe5
sampling,cgtnjyggtm,yfxyg8jm46,sampling:density=0.25,32,0.12906422922405505,185,42,2bdd34424ab33a2d3e622d5f605fe4d7683f3495f4aee11ab4c2e943abb7d680,f896d5e3cfef7d7a2e32dab3defad4a859e36f44b6195cd79c06cf57b5228862
sampling,cgtnjyggtm,ykhs7s2dck,sampling:density=0.25,32,0.0681291308308446,189,38,cd6b73fc113179aa71e1754e696771de86b9834b3e2e7a6b9718103288eb9b9a,d3ba223a4c3447e6265fd62d0b80af5f79e9d59cb342991e35118fbb19362a9f
sampling,cgtnjyggtm,74t7kcdgkr,sampling:density=0.1875,16,0.05611018833110925,182,45,bff7ea051daf42894819f14eb08be1ba636cb3bfeda28f4cd99731ac06aa8114,ad6788be7e19f52e2e72e254d512618f84c49681eafd987b027a8977197368e3
sampling,cgtnjyggtm,w68dtmpfyf,sampling:density=0.1875,16,0.08404807837865164,184,43,42e9fb3af1c0f551cd4e4229772a453a122cde5d579396807eb1e4acf2c73a27,c00fdbc1d29c24fbf7e24cac9c8e33380c6a20cbcd7369d5d9cca9f93d75d582
