dataset_id,specimen_id,comparison,first_method,second_method,nominal_checkpoint,first_action_count,second_action_count,exact_action_jaccard,normalized_symmetric_cell_distance,first_mean_radial_position,second_mean_radial_position,first_minus_second_level2_fraction
74t7kcdgkr,c8-12t,learned,global_reconstruction_mask,global_mechanical_mask,0.09375,17,18,0.16666666666666666,0.11163531863546391,0.7099709625428269,0.43487218121315224,0
74t7kcdgkr,c8-12t,learned,global_reconstruction_mask,global_mechanical_mask,0.125,26,27,0.23255813953488372,0.07539817751331977,0.701420149422866,0.49268673711405325,0
74t7kcdgkr,c8-12t,learned,global_reconstruction_mask,global_mechanical_mask,0.1875,44,45,0.48333333333333334,0.03517677674084592,0.6773947835558639,0.5789629773128685,0
74t7kcdgkr,c8-12t,learned,global_reconstruction_mask,global_mechanical_mask,0.25,63,63,0.96875,0.0016034167373844615,0.6152791657652963,0.6087555957553591,0
74t7kcdgkr,c8-12t,oracle,reconstruction_oracle,mechanical_oracle,0.03125,0,0,,,,,
74t7kcdgkr,c8-12t,oracle,reconstruction_oracle,mechanical_oracle,0.0625,4,6,0.42857142857142855,0.09948176170242125,1,0.6463209367038371,0.33333333333333337
74t7kcdgkr,c8-12t,oracle,reconstruction_oracle,mechanical_oracle,0.09375,12,15,0.22727272727272727,0.1474050945945323,0.834339743032831,0.6509505656836687,0.09999999999999999
74t7kcdgkr,c8-12t,oracle,reconstruction_oracle,mechanical_oracle,0.125,16,19,0.20689655172413793,0.1232635351391774,0.8272207683642429,0.6263600807153302,0.09210526315789475
74t7kcdgkr,c8-12t,oracle,reconstruction_oracle,mechanical_oracle,0.1875,22,30,0.20930232558139536,0.11618534700165083,0.8227660368102298,0.6369291164691446,0.2090909090909091
74t7kcdgkr,c8-12t,oracle,reconstruction_oracle,mechanical_oracle,0.25,29,38,0.17543859649122806,0.09731322552790833,0.7702067557117227,0.6483549498964949,0.2196007259528131
74t7kcdgkr,c8-13,learned,global_reconstruction_mask,global_mechanical_mask,0.03125,0,0,,,,,
74t7kcdgkr,c8-13,learned,global_reconstruction_mask,global_mechanical_mask,0.0625,8,8,0.14285714285714285,0.17334148741614824,0.6458129475106507,0.30055909925208985,0
74t7kcdgkr,c8-13,learned,global_reconstruction_mask,global_mechanical_mask,0.09375,17,17,0.1724137931034483,0.11417562069434563,0.7099709625428269,0.4416624105492218,0
74t7kcdgkr,c8-13,learned,global_reconstruction_mask,global_mechanical_mask,0.125,26,26,0.20930232558139536,0.08392047794235882,0.701420149422866,0.47317468854151695,0
74t7kcdgkr,c8-13,learned,global_reconstruction_mask,global_mechanical_mask,0.1875,44,45,0.48333333333333334,0.03517677674084592,0.6773947835558639,0.5789629773128685,0
74t7kcdgkr,c8-13,learned,global_reconstruction_mask,global_mechanical_mask,0.25,64,64,1,0,0.6148687895716815,0.6148687895716815,0
74t7kcdgkr,c8-13,oracle,reconstruction_oracle,mechanical_oracle,0.03125,0,0,,,,,
74t7kcdgkr,c8-13,oracle,reconstruction_oracle,mechanical_oracle,0.0625,8,8,0.23076923076923078,0.11995561466557503,0.6718364082635668,0.5514977190505597,0
74t7kcdgkr,c8-13,oracle,reconstruction_oracle,mechanical_oracle,0.09375,12,12,0.14285714285714285,0.09928210669008332,0.6517548408965677,0.6050257086323438,0
74t7kcdgkr,c8-13,oracle,reconstruction_oracle,mechanical_oracle,0.125,16,16,0.10344827586206896,0.1127160192118688,0.6796519785737197,0.6232357095745722,0
74t7kcdgkr,c8-13,oracle,reconstruction_oracle,mechanical_oracle,0.1875,22,27,0.06521739130434782,0.11582779062674894,0.7042941340680492,0.619888941573416,0.14983164983164987
74t7kcdgkr,c8-13,oracle,reconstruction_oracle,mechanical_oracle,0.25,33,38,0.12698412698412698,0.08045082742794765,0.6694588847913232,0.6386569435763925,0.10047846889952156
74t7kcdgkr,c8-14,learned,global_reconstruction_mask,global_mechanical_mask,0.03125,0,0,,,,,
74t7kcdgkr,c8-14,learned,global_reconstruction_mask,global_mechanical_mask,0.0625,8,8,0.14285714285714285,0.17334148741614824,0.6458129475106507,0.30055909925208985,0
74t7kcdgkr,c8-14,learned,global_reconstruction_mask,global_mechanical_mask,0.09375,17,17,0.1724137931034483,0.11417562069434563,0.7099709625428269,0.4416624105492218,0
74t7kcdgkr,c8-14,learned,global_reconstruction_mask,global_mechanical_mask,0.125,26,26,0.20930232558139536,0.08392047794235882,0.701420149422866,0.47317468854151695,0
74t7kcdgkr,c8-14,learned,global_reconstruction_mask,global_mechanical_mask,0.1875,44,45,0.48333333333333334,0.03517677674084592,0.6773947835558639,0.5789629773128685,0
74t7kcdgkr,c8-14,learned,global_reconstruction_mask,global_mechanical_mask,0.25,64,64,1,0,0.6148687895716815,0.6148687895716815,0
74t7kcdgkr,c8-14,oracle,reconstruction_oracle,mechanical_oracle,0.03125,0,0,,,,,
74t7kcdgkr,c8-14,oracle,reconstruction_oracle,mechanical_oracle,0.0625,6,8,0,0.24839118880651978,0.6404848773383959,0.5847203287544992,0.16666666666666666
