specimen_id,dataset_id,uniform_auebc,mechanical_auebc,auebc_reduction,uniform_mae_0p125,mechanical_mae_0p125
c24-33,xcmzfsbd9t,0.029964537244794354,0.017978016058649012,0.011986521186145342,0.17802038163271788,0.1074548149514199
c16-4,yfxyg8jm46,0.04011951332593105,0.028176908659715314,0.011942604666215734,0.22879735843168975,0.1330978143671479
q8-30,ykhs7s2dck,0.021612563894743718,0.009708793992387577,0.011903769902356141,0.10138995303379505,0.06537931822076803
c8-20,74t7kcdgkr,0.02451501016132169,0.012618444662631203,0.011896565498690486,0.12909229915684473,0.062418679630665164
q16-4,w68dtmpfyf,0.021737904222154235,0.009996680921200322,0.011741223300953913,0.10524205538083942,0.06002798146887378
c16-21,yfxyg8jm46,0.049945020117056135,0.03835378127592504,0.011591238841131092,0.24838918806777593,0.1777463766332627
q16-21,w68dtmpfyf,0.05131188808447924,0.03973020448453525,0.011581683599943993,0.2737607147761386,0.2322934200033807
c24-11t,xcmzfsbd9t,0.03610403578736769,0.02460564722489804,0.011498388562469652,0.18414860275810474,0.13774113074262573
c24-30,xcmzfsbd9t,0.016011720841057446,0.0047046523007159835,0.011307068540341463,0.07883919031870301,0.030348523894657697
q24-42,cgtnjyggtm,0.054744388542762826,0.04359056292953738,0.011153825613225449,0.31341820764489187,0.18839974884704253
q24-29,cgtnjyggtm,0.014940480708110387,0.0038333061253490834,0.011107174582761304,0.09497392411393457,0.02268734741711287
c16-6,yfxyg8jm46,0.031020753301782125,0.01993247654078548,0.011088276760996645,0.18587238201276024,0.09382553950812045
c16-25,yfxyg8jm46,0.037959692945010115,0.02688621269445867,0.011073480250551444,0.20992090083646603,0.14201328436846877
c16-16,yfxyg8jm46,0.019879677887786787,0.008879540100291183,0.011000137787495604,0.09026842795410994,0.037411963554271566
c16-40,yfxyg8jm46,0.015695857365597338,0.004697719313384205,0.010998138052213132,0.07563664868108566,0.022653194077319694
q16-37,w68dtmpfyf,0.014979446603915897,0.004069113599586014,0.010910333004329883,0.0961661769936587,0.02863103855631166
q8-8,ykhs7s2dck,0.013324585795816819,0.0025914706930415705,0.010733115102775248,0.0652850707361291,0.0011439082313481341
q24-20,cgtnjyggtm,0.012592485598278459,0.001916704308850086,0.010675781289428372,0.06977128099121643,0.006875504156153789
q8-22,ykhs7s2dck,0.012371494335331478,0.0018893349678971126,0.010482159367434365,0.06304581247476648,0.003730455244902009
c16-5,yfxyg8jm46,0.026146277797766702,0.015696735460115574,0.010449542337651128,0.12494635329944492,0.06753532362590609
c16-19,yfxyg8jm46,0.02468827974573022,0.01426265845261124,0.010425621293118982,0.12342144027069879,0.05244595612944314
c8-38,74t7kcdgkr,0.012821305319810383,0.002512350714958563,0.01030895460485182,0.05461677495709316,0.005920776421578955
c16-22,yfxyg8jm46,0.023998768964493034,0.013701935915780028,0.010296833048713006,0.1303404230722235,0.0767441302835623
q24-14,cgtnjyggtm,0.012146720418183009,0.002191315768395527,0.009955404649787482,0.06481751357474463,0.009683747684541721
q16-33,w68dtmpfyf,0.016956749889602912,0.007173088594346554,0.009783661295256358,0.133749571086488,0.05458074977720406
q8-3,ykhs7s2dck,0.018274226166711323,0.008522477373322832,0.009751748793388491,0.09194874627616689,0.05961357620256447
q8-33,ykhs7s2dck,0.011034373891142046,0.0013713655493123172,0.009663008341829728,0.08666164085971095,0.0022583432009740667
c16-17,yfxyg8jm46,0.01340386599006364,0.0037591992605625867,0.009644666729501053,0.038626566961399655,0.02583974956300472
c24-58,xcmzfsbd9t,0.012285614849411975,0.0027006639774380115,0.009584950871973964,0.06837713612769425,0.014917361762104231
q16-41,w68dtmpfyf,0.01755515252088064,0.008024493304876819,0.009530659216003823,0.1057264855409289,0.05740067618179989
c24-47,xcmzfsbd9t,0.010688515316408602,0.001170484780577746,0.009518030535830856,0.06274873807068337,0.0018631159244405504
c24-49,xcmzfsbd9t,0.02002256316205006,0.010691103690815195,0.009331459471234866,0.11448204594474776,0.0830178184665461
c24-12t,xcmzfsbd9t,0.011148610149151916,0.0019620950044751378,0.009186515144676779,0.07323356515966406,0.011647684237571898
q24-46,cgtnjyggtm,0.06907044319848285,0.05990539673861104,0.00916504645987181,0.41669768333689555,0.3090630859818145
q24-38,cgtnjyggtm,0.011092021678391026,0.0019420122718235133,0.009150009406567513,0.06283694618323266,0.018145438665222557
q16-27,w68dtmpfyf,0.017371751408582138,0.008295844197638088,0.00907590721094405,0.1300061259505726,0.07071272935606887
c24-9t,xcmzfsbd9t,0.018792782947561856,0.00971797345213089,0.009074809495430967,0.10624953455750197,0.07250661088026933
q24-30,cgtnjyggtm,0.011323897094658536,0.002306266611323708,0.009017630483334827,0.0593987600621948,0.0020913591481391824
c16-42,yfxyg8jm46,0.016460966099384296,0.007625859169951446,0.00883510692943285,0.07614341207065789,0.0557467926664823
q8-12,ykhs7s2dck,0.010502019588690561,0.0016919951286155834,0.008810024460074978,0.07361716543496699,0.008653705271645329
c24-29,xcmzfsbd9t,0.028369476048299525,0.01957648002737459,0.008792996020924936,0.15264745328682228,0.1181657537969032
c24-46,xcmzfsbd9t,0.010558482089194788,0.001806902922079673,0.008751579167115116,0.07520041459541549,0.009541565328871848
c8-26,74t7kcdgkr,0.013302133544697337,0.004567790544055216,0.00873434300064212,0.08255382653288235,0.024256956821282816
c24-53,xcmzfsbd9t,0.01049491926402299,0.0017817107133252267,0.008713208550697762,0.06947821178900943,0.025307171986963417
q8-41,ykhs7s2dck,0.01335808294194244,0.004663392887140065,0.008694690054802374,0.07679742578609694,0.03764085351288238
c16-7,yfxyg8jm46,0.013498950495979184,0.004939395951070732,0.008559554544908452,0.05240046639514151,0.00840090414386202
c24-31,xcmzfsbd9t,0.015547213018785918,0.0069980498305124966,0.008549163188273421,0.09073158818739469,0.04360503632101387
c24-42,xcmzfsbd9t,0.02008892652901304,0.011608661394872115,0.008480265134140927,0.08434455766797028,0.08254052916955862
c8-39,74t7kcdgkr,0.01244352162248172,0.003992939754287408,0.008450581868194312,0.05251851477272873,0.005754245286593296
q24-8,cgtnjyggtm,0.01468226045128371,0.006315658583766688,0.008366601867517023,0.1011645251479446,0.05054988197213528
