outer_domain,specimen_id,method,nominal_checkpoint,mean_exact_acquired_cost,mean_effective_budget,cai_mae,reconstruction_mse,trajectory_count
74t7kcdgkr,c8-12,mavis_shuffled_content,0.25,29734.0,0.2499159494351802,0.11942813693714116,0.001286398343225599,1
74t7kcdgkr,c8-12,mavis_value_per_cost,0.03125,3720.0,0.03126681011296396,0.11705955388439215,0.0020768254951113617,1
74t7kcdgkr,c8-12,mavis_value_per_cost,0.0625,7400.0,0.06219741796664874,0.11905310838946248,0.0016968132334448547,1
74t7kcdgkr,c8-12,mavis_value_per_cost,0.09375,11154.0,0.09375,0.11988621688204848,0.0014988702432141348,1
74t7kcdgkr,c8-12,mavis_value_per_cost,0.125,14729.0,0.12379807692307693,0.12023473852645716,0.001403803722475535,1
74t7kcdgkr,c8-12,mavis_value_per_cost,0.1875,21943.0,0.18443215438407745,0.12022107048652675,0.0013550341012411812,1
74t7kcdgkr,c8-12,mavis_value_per_cost,0.25,29690.0,0.2495461269499731,0.11958232366156119,0.0012525269673592805,1
74t7kcdgkr,c8-12,mva_a5,0.03125,3720.0,0.03126681011296396,0.11705955388439215,0.0020768254951113617,1
74t7kcdgkr,c8-12,mva_a5,0.0625,7191.0,0.060440761161915005,0.11891351249827531,0.0016811266383731116,1
74t7kcdgkr,c8-12,mva_a5,0.09375,10882.0,0.09146382463690156,0.11971813476282644,0.001550520354752455,1
