endpoint,view_name,domain_id,specimen_count,mae,rmse,standardized_mae
normalized_prepeak_auc,F2,cgtnjyggtm,49,0.059878893545467562,0.0988652628214403,2.0132648610495201
normalized_prepeak_auc,F2,w68dtmpfyf,43,0.015172103112092791,0.02023547194055805,0.27872786582557091
normalized_prepeak_auc,F2,xcmzfsbd9t,59,0.040516216202034092,0.044291089898286777,0.72339956630690727
normalized_prepeak_auc,F2,yfxyg8jm46,42,0.017395467841260819,0.022888902387778385,0.3228268706177217
normalized_prepeak_auc,F2,ykhs7s2dck,38,0.031973739523469366,0.038807203646491026,0.61883703281657143
normalized_prepeak_auc,F3,74t7kcdgkr,45,0.034392587233743617,0.042726236508200247,0.67317307162081286
normalized_prepeak_auc,F3,cgtnjyggtm,49,0.060532346912128471,0.099247045141588275,2.0352354524138039
normalized_prepeak_auc,F3,w68dtmpfyf,43,0.015367604628325685,0.018856638143579008,0.28231943912181523
normalized_prepeak_auc,F3,xcmzfsbd9t,59,0.027479698773155866,0.03160928376269289,0.49063817005072169
normalized_prepeak_auc,F3,yfxyg8jm46,42,0.013890758038910801,0.01926310291856238,0.2577861078029226
normalized_prepeak_auc,F3,ykhs7s2dck,38,0.037365645039274108,0.043183410545941492,0.72319488586590608
normalized_prepeak_auc,F4,74t7kcdgkr,45,0.034882836801792952,0.042906425597942312,0.68276882565180808
normalized_prepeak_auc,F4,cgtnjyggtm,49,0.06031540589341064,0.098595020219317278,2.0279414009702301
normalized_prepeak_auc,F4,w68dtmpfyf,43,0.019258024420809559,0.025229619510915631,0.35379063846136516
normalized_prepeak_auc,F4,xcmzfsbd9t,59,0.030068211150457446,0.036372604990362753,0.53685494216445162
normalized_prepeak_auc,F4,yfxyg8jm46,42,0.01919113184713183,0.025676047000635832,0.35615098681776086
normalized_prepeak_auc,F4,ykhs7s2dck,38,0.050392710328801514,0.057895314934677332,0.9753277470897701
normalized_prepeak_auc,F5,74t7kcdgkr,45,0.039527364254505669,0.04622941374920865,0.77367710162187631
normalized_prepeak_auc,F5,cgtnjyggtm,49,0.060378385709767043,0.098472932137811567,2.0300589259229822
normalized_prepeak_auc,F5,w68dtmpfyf,43,0.019404401780177431,0.025221102050873353,0.35647974811744648
normalized_prepeak_auc,F5,xcmzfsbd9t,59,0.031399975211363867,0.038285789747778749,0.56063301510391006
normalized_prepeak_auc,F5,yfxyg8jm46,42,0.018888809085237723,0.02541737630330218,0.35054045009466761
normalized_prepeak_auc,F5,ykhs7s2dck,38,0.048496610623377782,0.05591834854548422,0.93862960877011847
