specimen_key,author_cai_mpa,v2_oof_label_mpa,difference_mpa,status
yfxyg8jm46:c16-19,247.9709323084748,247.9709323084748,0.0,MATCH
yfxyg8jm46:c16-2,245.7370244454288,245.7370244454288,0.0,MATCH
yfxyg8jm46:c16-20,239.299129597809,239.299129597809,0.0,MATCH
yfxyg8jm46:c16-21,207.7060610290256,207.7060610290256,0.0,MATCH
yfxyg8jm46:c16-22,488.5845823451517,488.5845823451517,0.0,MATCH
yfxyg8jm46:c16-23,506.4261737050501,506.4261737050501,0.0,MATCH
yfxyg8jm46:c16-24,523.4414354216926,523.4414354216926,0.0,MATCH
yfxyg8jm46:c16-25,199.5304815742978,199.5304815742978,0.0,MATCH
yfxyg8jm46:c16-26,200.6218680217481,200.6218680217481,0.0,MATCH
yfxyg8jm46:c16-27,227.7041377122858,227.7041377122858,0.0,MATCH
yfxyg8jm46:c16-28,493.404199736991,493.404199736991,0.0,MATCH
yfxyg8jm46:c16-29,477.1101445717875,477.1101445717875,0.0,MATCH
yfxyg8jm46:c16-3,192.2321834936029,192.2321834936029,0.0,MATCH
yfxyg8jm46:c16-30,508.9774230930134,508.9774230930134,0.0,MATCH
yfxyg8jm46:c16-32,212.3377100634028,212.3377100634028,0.0,MATCH
yfxyg8jm46:c16-33,186.5073654443543,186.5073654443543,0.0,MATCH
yfxyg8jm46:c16-34,195.424265687138,195.424265687138,0.0,MATCH
yfxyg8jm46:c16-35,238.6599429121084,238.6599429121084,0.0,MATCH
yfxyg8jm46:c16-36,273.3928263897496,273.3928263897496,0.0,MATCH
yfxyg8jm46:c16-37,293.1596091400093,293.1596091400093,0.0,MATCH
yfxyg8jm46:c16-38,373.5970329249062,373.5970329249062,0.0,MATCH
yfxyg8jm46:c16-39,234.7633907953521,234.7633907953521,0.0,MATCH
yfxyg8jm46:c16-4,210.8622511035189,210.8622511035189,0.0,MATCH
yfxyg8jm46:c16-40,475.0516502398848,475.0516502398848,0.0,MATCH
yfxyg8jm46:c16-41,275.631321311672,275.631321311672,0.0,MATCH
