specimen_id,dataset_id,metric,value,tertile
q16-43,w68dtmpfyf,damage_height,11.6839762611,low
c24-2,xcmzfsbd9t,damage_height,28.4023668639,high
c24-3,xcmzfsbd9t,damage_height,24.8520710059,high
c24-5,xcmzfsbd9t,damage_height,22.4112426036,middle
c24-6,xcmzfsbd9t,damage_height,23.9644970414,middle
c24-6t,xcmzfsbd9t,damage_height,38.5014836795,high
c24-7,xcmzfsbd9t,damage_height,31.7307692308,high
c24-8,xcmzfsbd9t,damage_height,28.4023668639,high
c24-8t,xcmzfsbd9t,damage_height,22.1439169139,middle
c24-9,xcmzfsbd9t,damage_height,26.849112426,high
c24-9t,xcmzfsbd9t,damage_height,35.3857566766,high
c24-10,xcmzfsbd9t,damage_height,49.0384615385,high
c24-10t,xcmzfsbd9t,damage_height,24.5919881306,high
c24-11,xcmzfsbd9t,damage_height,26.1834319527,high
c24-11t,xcmzfsbd9t,damage_height,18.9169139466,middle
c24-12,xcmzfsbd9t,damage_height,15.7544378698,low
c24-12t,xcmzfsbd9t,damage_height,17.6928783383,middle
c24-13,xcmzfsbd9t,damage_height,21.7455621302,middle
c24-14,xcmzfsbd9t,damage_height,21.3017751479,middle
c24-15,xcmzfsbd9t,damage_height,19.9704142012,middle
c24-16,xcmzfsbd9t,damage_height,57.6923076923,high
c24-17,xcmzfsbd9t,damage_height,12.2041420118,low
c24-18,xcmzfsbd9t,damage_height,14.4230769231,low
c24-20,xcmzfsbd9t,damage_height,7.3224852071,low
c24-21,xcmzfsbd9t,damage_height,6.87869822485,low
c24-24,xcmzfsbd9t,damage_height,0.0,low
c24-25,xcmzfsbd9t,damage_height,53.0325443787,high
c24-26,xcmzfsbd9t,damage_height,24.9258160237,high
c24-27,xcmzfsbd9t,damage_height,25.1483679525,high
c24-28,xcmzfsbd9t,damage_height,24.5919881306,high
c24-29,xcmzfsbd9t,damage_height,9.68100890208,low
c24-30,xcmzfsbd9t,damage_height,10.6824925816,low
c24-31,xcmzfsbd9t,damage_height,7.56676557864,low
c24-32,xcmzfsbd9t,damage_height,26.0385756677,high
c24-33,xcmzfsbd9t,damage_height,26.149851632,high
c24-34,xcmzfsbd9t,damage_height,24.5919881306,high
c24-35,xcmzfsbd9t,damage_height,15.4673590504,low
c24-36,xcmzfsbd9t,damage_height,19.4732937685,middle
c24-37,xcmzfsbd9t,damage_height,17.6928783383,middle
c24-39,xcmzfsbd9t,damage_height,26.3724035608,high
c24-40,xcmzfsbd9t,damage_height,29.5994065282,high
c24-41,xcmzfsbd9t,damage_height,27.0400593472,high
c24-42,xcmzfsbd9t,damage_height,17.8041543027,middle
c24-43,xcmzfsbd9t,damage_height,12.9080118694,low
c24-44,xcmzfsbd9t,damage_height,21.4762611276,middle
c24-45,xcmzfsbd9t,damage_height,13.5756676558,low
c24-46,xcmzfsbd9t,damage_height,22.4777448071,middle
c24-47,xcmzfsbd9t,damage_height,24.3694362018,middle
c24-48,xcmzfsbd9t,damage_height,23.8130563798,middle
c24-49,xcmzfsbd9t,damage_height,6.45400593472,low
c24-50,xcmzfsbd9t,damage_height,18.0267062315,middle
c24-51,xcmzfsbd9t,damage_height,25.7047477745,high
c24-52,xcmzfsbd9t,damage_height,20.8086053412,middle
c24-53,xcmzfsbd9t,damage_height,26.0385756677,high
c24-54,xcmzfsbd9t,damage_height,19.6958456973,middle
c24-55,xcmzfsbd9t,damage_height,26.149851632,high
c24-56,xcmzfsbd9t,damage_height,26.5949554896,high
c24-57,xcmzfsbd9t,damage_height,26.149851632,high
c24-58,xcmzfsbd9t,damage_height,26.0385756677,high
c24-59,xcmzfsbd9t,damage_height,24.703264095,high
c16-1,yfxyg8jm46,damage_height,39.2804154303,high
c16-2,yfxyg8jm46,damage_height,18.471810089,middle
c16-3,yfxyg8jm46,damage_height,27.262611276,high
c16-4,yfxyg8jm46,damage_height,23.0341246291,middle
c16-5,yfxyg8jm46,damage_height,14.6884272997,low
