method,specimen_id,dataset_id,normalized_rgb_l1,ssim_11x11_gaussian,psnr_db,measured_point_mae,measured_point_maximum_absolute_error,source_sha256,reconstruction_sha256
bilinear,c8-11,74t7kcdgkr,0.00803788186423933,0.9640228233927454,28.51124449422486,0.0,0.0,033ce22b42ab78540690086e60352949164a2dd19fd010e64ca52d59cda5e541,4c895f18001bb9861d65e9da71cde32a4dd6abb5799eb0651e545e5576505303
bilinear,c8-12,74t7kcdgkr,0.00766179678792801,0.9685008173361253,30.241865885594578,0.0,0.0,7b9f23920b821459b2325d67f69d9b5b86eccc7c5fe6a8ce4c7bb3cead01ca54,0bdcc1737d0b6be8b7f5509263a683888ba4b8fca98f5ebf9c5f7f460c4df4a5
bilinear,c8-12t,74t7kcdgkr,0.004091547803500636,0.9848630112595993,33.40467500007667,0.0,0.0,6dac24c24418147de059279ba8b395d6d03d77211c3a723774e2d504a986b489,2648e04fa1c0509653ef472532122a7c68367e381a57259397ecec10f033a342
bilinear,c8-13,74t7kcdgkr,0.0056518430553564964,0.9781403702764778,30.481431128286683,0.0,0.0,9b8bfc7edae7253f4f334528b0573db54560b11b65d4f7cfbf699862fa734fb1,a96f6cffd8570b1e3c3817083c0dcc58ea1847c138107d5b8ccb66d678b17ef4
bilinear,c8-14,74t7kcdgkr,0.005707386098655729,0.9764605937030307,31.401689625651734,0.0,0.0,105a6b8ee503068828412a45fface30c4001c047a1a3b6c436e81758d1543fb6,938d2f522c5eb2d42ef3f297f6bc5e92f476a3d6565fd5b1a3df92e59c77aae2
bilinear,c8-15,74t7kcdgkr,0.0072848876864713965,0.9671243974388286,29.42984125180621,0.0,0.0,9840b03cba3d304577e2029038f911712e0b2398f34da67eb6fe02e39c3f0165,64e7fc9b10b3b3678ee7712ad01295467f29508c2893e0a4104fef5268482b0f
bilinear,c8-16,74t7kcdgkr,0.007036152949614487,0.9684123458527273,29.661088254225334,0.0,0.0,6b66810cfef6616f232404aaab7d44f1057598b09cbc658215b3b3e5d454515f,faecf13d3dd13f895ec63dcc87ec1ac48c19b3c00acad626c9af7a1221baef94
bilinear,c8-17,74t7kcdgkr,0.006078158377865591,0.9717950562904244,31.460072722897063,0.0,0.0,476ded8cc36646b1fb973db593b796b7ac83b7822923f024fa6d59a7da128dcb,db49a13dab0978021c443ad4186f7ffe8c7007459ecc0cc49a49cfe8c085f66e
bilinear,c8-18,74t7kcdgkr,0.00706579588084113,0.9684991685026544,29.13482827306561,0.0,0.0,7d33d5f5c320c8dbb1223d609dc19b575887b0ae74093eec15e4f897fc9f4629,ea6369d66cdb2576e5ea6906a26123833e99e8369cdca388a697ba7e7baada4f
bilinear,c8-19,74t7kcdgkr,0.004076437330253199,0.9828180645458056,34.30998666567234,0.0,0.0,c6ee817a9989701daa210ea0166f0e808a907ef2a47c5b3463aee59dda3c4533,16e7d0c500e44ceb053bef7f95e59a36c1d1870c111173b356055ab2b9254303
bilinear,c8-20,74t7kcdgkr,0.006173577933939448,0.9650963753424512,32.916204399672765,0.0,0.0,4846a5d3aec0f60375ec0c656a1699329a9dc37dfb0aa415f80637cf231430bf,ac2a87e6160d0f4e550ed6499db4ab86d14e193be5afa6df47b965163a4e71ed
bilinear,c8-21,74t7kcdgkr,0.004491037225235554,0.9836254460031612,33.77662460791366,0.0,0.0,1bbf6855570f5796ce7c12b6e2fa1e0eff7bb5adaf032f504330bf0a496d1ff8,59993ea21392aaa1b0fc36f59597862bd67a767dc9fdddf1601c79a28b56e2fc
bilinear,c8-22,74t7kcdgkr,0.004752055637802617,0.977086949929811,33.82306042597535,0.0,0.0,7135c9048e7414509668376e3c566a7ad7d630dac17e6a071aa28f539f8a2d29,6959dc1cfb08b878b1cee954ba8c61bcacefb2d171f12c1991d8143357abcc91
bilinear,c8-23,74t7kcdgkr,0.005149714793049871,0.979815632035424,31.867364654805034,0.0,0.0,6e59beeeb4604393f02a60f1258abc95a9585a5a4574fb36192db4667a63001a,bf8237241bf5b0d1dd2ae9b6d65d37f61bab856cc38a6b2c2270e81070355285
bilinear,c8-24,74t7kcdgkr,0.005227873205918628,0.9798636349336163,31.930430657729904,0.0,0.0,f46394d66b623b351b3ac03bf677fdfab9e553f7bda56774980ac910ad629f8f,c139a1e5a5d6fe71c54492a7982a595520acbbcf020b290c718600075ff84710
bilinear,c8-25,74t7kcdgkr,0.004960757736072411,0.9793429425859109,33.579930336075556,0.0,0.0,05b1f4c38b12b8b0124e9d830569676fcb5e8021d30dae018d1dda67ada52b49,141273c30d5629d722b4af5c0595cb64b61d31dd83c861cf090d528696143e72
bilinear,c8-26,74t7kcdgkr,0.004684522539645598,0.9815486198089655,33.597433550164396,0.0,0.0,571cdd3acbfda77b91b7195e45be30d90cee4f5432f6c3630caec4f613c181c6,d629d750cbc918afff9a401b0817331e580055e78cb523fe3cadc71acaaca4ea
bilinear,c8-27,74t7kcdgkr,0.004230889410385541,0.9836484035659093,34.033260850989905,0.0,0.0,88f783bc79d899c39025b3386e60850033b6812bd150a17a2efda04239f1ee30,1bb944d9113cf59ce547d6f06866b45147a2ad555a348d77d33c695a36b3382e
bilinear,c8-28,74t7kcdgkr,0.0041523660935231695,0.9842825078785967,34.050875178719515,0.0,0.0,f741bec292746d4dd40f11ce7d2cc398b14a34002cf3a81c97b3f5ddb516168b,7fb81b6c58e2e45085337550e04746f164e3a45fb921887c0a6b699cb76b468a
bilinear,c8-29,74t7kcdgkr,0.004156730575147595,0.9840051327012894,34.0247478520406,0.0,0.0,a5b6e5542bbb04ea369503463b9fedc9b0c06eebd0ae93ad5f84dcd6c0a18ef2,dc7726beb5fae19f32666d0e0daa91265bac02a05ecdc392e6c0e249bd8de466
bilinear,c8-30,74t7kcdgkr,0.004714605569670444,0.9816587835795089,33.65336238183297,0.0,0.0,addb7c35af801dad0bff4cf7b4ca2b1f72af53c2d82e74cbfc50f96761f7f4a0,96617adfb4b2785884cf5b548b04a0a328a5577a79a20235612349000fc57a9e
bilinear,c8-32,74t7kcdgkr,0.0058218104840939925,0.9733870584489218,32.87165651539169,0.0,0.0,0a4cfc4412396c2ad4dc9ec024bed95d21b3d8d997dfe3998a861ae397b5d331,70d2e0ee796deed511eddc45c6862aaea7fe03d8d9a6d773c768f4172cb0a6b0
bilinear,c8-33,74t7kcdgkr,0.005806113865848937,0.9734070137547058,32.85216113179788,0.0,0.0,d105552b3cfef9fb3f4a0c1cb9828abce375a375904652e2fd44a4f980893970,42a196e07f561ee4aa94cb61b3201088514891e35f20e77a0e90805f29eefd74
bilinear,c8-34,74t7kcdgkr,0.0057420545387807465,0.973373448564877,32.93083446628789,0.0,0.0,c1cb020ca5f86be806e8b6f41ad7adac2458bc46a14343df20f4ce84a4ab5206,ecabda4d008903e4a9331eba87096e5fdea894fef8ecc176fe37bf55663d575a
bilinear,c8-35,74t7kcdgkr,0.005174715026502229,0.9774782641243095,33.165493036212396,0.0,0.0,a1644b59fcd63882d23fb13baa49debef443dc8c8f1dae4c1336ffd7366daf0a,0a56d65aa549ea03ced4d8468be1cbc5d8f923c49829666e19d9372d87d8830a
bilinear,c8-36,74t7kcdgkr,0.0050362037916972845,0.9779398963809731,33.44557428539059,0.0,0.0,4c9e0e001dcf4a30a56937082bcdf328b4fdd8a2f55dd7c41c66ae49a2e9b37d,5bc14279198c836299c69d71fa319fa6dd2061bc3db078651cfdada739ab005a
bilinear,c8-37,74t7kcdgkr,0.00510682277087118,0.9776816807080412,33.293749804209426,0.0,0.0,0e643f1a481d9655dddbf20e45478e63a39352296c4c422f9a73878d31c24133,b8c8e95d60310d61a397d76eb67fb928ca246fdb7a44d747c2bdc50f18fd937a
bilinear,c8-38,74t7kcdgkr,0.0055903061961129095,0.9744465881218293,33.4300923923136,0.0,0.0,99adccf91fae342347b117bf38c79332402620e034dd9749cefdb24d30539155,133ca3ace8e755b9756781da7c9f60adabc2c82c8c812277fbd621ee44bb1eb1
bilinear,c8-39,74t7kcdgkr,0.005258990609468685,0.9773402839756162,33.3441280378846,0.0,0.0,108c53c9a9fa9199c0bb34579017b5f992e507ff90f5667d1279848966308a8a,5c348e312ccd3a3a4d1a25f07804b4965a7ca4d6352070d87d5b4a7dbbefbbe8
bilinear,c8-40,74t7kcdgkr,0.004710039959860561,0.978760384691291,33.9962737209776,0.0,0.0,642effc83b8f60de47b6eff3d03f3606d58f07ce3fbd403e2cb9f3c1e1f8a0ea,54c53b6767d9d5e67544ab34fb7525a54648c888d55fb5316526b5694bad1a0e
bilinear,c8-41,74t7kcdgkr,0.0046190783013575435,0.9795965832783482,33.844812084031055,0.0,0.0,3464495d4b5022395994361121987e53feeff833af32a801561cecdfa942e4ed,3571dfd90e3803ac52c0a714564c778b5024a36e62ba7816329425326eb33f66
bilinear,c8-42,74t7kcdgkr,0.004938745692803993,0.978491479516643,33.524499980828665,0.0,0.0,626b851efd45607d5dbda2485d8657b49c729f0cbf074f14011fb68f9cd00295,77ea37d024b3035575a8fe0bed6e614c40601a64250d5b6ac133cedeab46a5e5
bilinear,c8-43,74t7kcdgkr,0.0054632880004769615,0.9758635645330919,33.101203038012,0.0,0.0,e9cd17bcd173535d74c802ca62f23f14b3874590281c75c31d18a02438f2fbf5,3b44ecbcc2fd92dc07d700c79eb128e062b0b5ce0f7b5ef0f3d44bcd42112818
bicubic,c8-2,74t7kcdgkr,0.009175032816235903,0.9641328180310573,28.109710081556575,0.0,0.0,65bd5991cb5a02dff1889ea8bd7d7b5f46fdaa354d69c1550afadf2f73175143,01cbd89217d69beb8b808e545c4d0bda905fe7fad21a77f4b611b4b0d65c9f0b
bicubic,c8-3,74t7kcdgkr,0.00859563701758272,0.9603871478160109,28.227415110568185,0.0,0.0,fef3515d6ca138dcbaf6860a236bc243ee310415149a926c3f8ea852e0af1494,293bf5e317e96fdd2e47cc3a790093b4bba21f514120ddd8faa6737cefa94e86
bicubic,c8-4,74t7kcdgkr,0.007486015743934296,0.9663145243541847,29.109802679512022,0.0,0.0,0cb9dc03e062abb64c6cfcd781716a7b33835fcc010b4579fab64058c1d0da5e,dc5bc0d16fc4a71b503b84ed9bcb155c0d2da25b70f7bbfa699c75a2d8c36c93
bicubic,c8-5,74t7kcdgkr,0.0065695488080369634,0.9736439154346845,30.34529968772663,0.0,0.0,ed075f535b3c6f500bbc3badc59e2af13d354e9617cc66014892514096f44945,7b3df8158c550c243083fd85e671544a377dc26a8df9a25f4e30ad79b16f36ff
bicubic,c8-6,74t7kcdgkr,0.008038738850390434,0.9607401284078453,28.037689096575292,0.0,0.0,489d39781358ba93e2c9823d8948fbb6df91d4c5ba96f342c4b85cd849791185,260532188d0fb811f05bfd2bb62a7028dff99cdd70b44699e46aea8f2c43313f
