specimen_id,dataset_id,initial_budget,cell_index,row,column,boundary_or_interior,native_height,native_width,native_count,added_measurements,added_fraction,grid_state_sha256,candidate_bank_state_sha256
c8-2,74t7kcdgkr,0.015625,47,5,7,boundary,338,340,114920,448,0.0038983640793595546,9f9ebc641c05f42ba2f509e907182fbe078c4a4a0f620818c85feb329e67e279,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-2,74t7kcdgkr,0.015625,48,6,0,boundary,338,340,114920,448,0.0038983640793595546,9f9ebc641c05f42ba2f509e907182fbe078c4a4a0f620818c85feb329e67e279,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-2,74t7kcdgkr,0.015625,49,6,1,interior,338,340,114920,448,0.0038983640793595546,9f9ebc641c05f42ba2f509e907182fbe078c4a4a0f620818c85feb329e67e279,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-2,74t7kcdgkr,0.015625,50,6,2,interior,338,340,114920,448,0.0038983640793595546,9f9ebc641c05f42ba2f509e907182fbe078c4a4a0f620818c85feb329e67e279,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-2,74t7kcdgkr,0.015625,51,6,3,interior,338,340,114920,448,0.0038983640793595546,9f9ebc641c05f42ba2f509e907182fbe078c4a4a0f620818c85feb329e67e279,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-2,74t7kcdgkr,0.015625,52,6,4,interior,338,340,114920,464,0.00403759136790811,9f9ebc641c05f42ba2f509e907182fbe078c4a4a0f620818c85feb329e67e279,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-2,74t7kcdgkr,0.015625,53,6,5,interior,338,340,114920,448,0.0038983640793595546,9f9ebc641c05f42ba2f509e907182fbe078c4a4a0f620818c85feb329e67e279,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-2,74t7kcdgkr,0.015625,54,6,6,interior,338,340,114920,448,0.0038983640793595546,9f9ebc641c05f42ba2f509e907182fbe078c4a4a0f620818c85feb329e67e279,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-2,74t7kcdgkr,0.015625,55,6,7,boundary,338,340,114920,448,0.0038983640793595546,9f9ebc641c05f42ba2f509e907182fbe078c4a4a0f620818c85feb329e67e279,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
c8-2,74t7kcdgkr,0.015625,56,7,0,boundary,338,340,114920,448,0.0038983640793595546,9f9ebc641c05f42ba2f509e907182fbe078c4a4a0f620818c85feb329e67e279,2b17097a85fdb41b4413fecfa7f5b141b2e132cc479adb127fceb28c2c444fc4
