outer_domain,specimen_id,dataset_id,method,nominal_checkpoint,budgeted_regret,selected_mechanical_value,oracle_mechanical_value,value_capture
74t7kcdgkr,c8-12t,74t7kcdgkr,o1_candidate_ridge,0.09375,0.060309612576756155,-0.01349062356700037,0.046818989009755785,-0.2881442733457849
74t7kcdgkr,c8-12t,74t7kcdgkr,o1_candidate_ridge,0.125,0.06714469349061769,-0.012065121698246695,0.055079571792370996,-0.2190489378480938
74t7kcdgkr,c8-12t,74t7kcdgkr,o1_candidate_ridge,0.1875,0.0697004034514418,-0.011267238443131489,0.058433165008310306,-0.19282266229339234
74t7kcdgkr,c8-12t,74t7kcdgkr,o1_candidate_ridge,0.25,0.020715575919581397,0.004588914558282031,0.02530449047786343,0.18134783477645797
74t7kcdgkr,c8-12t,74t7kcdgkr,o2_global_candidate,0.0625,0.06782202520542358,-0.03492641201901847,0.032895613186405104,-1.0617346398471346
74t7kcdgkr,c8-12t,74t7kcdgkr,o2_global_candidate,0.09375,0.07382591857794796,-0.027006929568192173,0.046818989009755785,-0.5768370940808798
74t7kcdgkr,c8-12t,74t7kcdgkr,o2_global_candidate,0.125,0.0797523622516223,-0.024672790459251304,0.055079571792370996,-0.44794811681285984
74t7kcdgkr,c8-12t,74t7kcdgkr,o2_global_candidate,0.1875,0.07730024096939458,-0.01886707596108428,0.058433165008310306,-0.3228830058820367
74t7kcdgkr,c8-12t,74t7kcdgkr,o2_global_candidate,0.25,0.026571805538750937,-0.0012673150608875083,0.02530449047786343,-0.05008261525740523
74t7kcdgkr,c8-12t,74t7kcdgkr,o3_a5_mlp_huber,0.0625,0.026358033917734836,0.006537579268670268,0.032895613186405104,0.19873711523857773
74t7kcdgkr,c8-12t,74t7kcdgkr,o3_a5_mlp_huber,0.09375,0.03904255482089303,0.0077764341888627575,0.046818989009755785,0.16609573067121042
74t7kcdgkr,c8-12t,74t7kcdgkr,o3_a5_mlp_huber,0.125,0.02173640176479752,0.03334317002757348,0.055079571792370996,0.6053636392320646
74t7kcdgkr,c8-12t,74t7kcdgkr,o3_a5_mlp_huber,0.1875,0.035215037794807946,0.02321812721350236,0.058433165008310306,0.39734502161914903
74t7kcdgkr,c8-12t,74t7kcdgkr,o3_a5_mlp_huber,0.25,0.022355521109064913,0.0029489693687985152,0.02530449047786343,0.11653936961814336
74t7kcdgkr,c8-12t,74t7kcdgkr,o3_a5_ridge,0.0625,0.055290123041564554,-0.02239450985515945,0.032895613186405104,-0.6807749631617906
74t7kcdgkr,c8-12t,74t7kcdgkr,o3_a5_ridge,0.09375,0.06601620530934649,-0.019197216299590703,0.046818989009755785,-0.410030560369224
74t7kcdgkr,c8-12t,74t7kcdgkr,o3_a5_ridge,0.125,0.0713880986050881,-0.016308526812717106,0.055079571792370996,-0.2960902977640066
74t7kcdgkr,c8-12t,74t7kcdgkr,o3_a5_ridge,0.1875,0.07230793317331596,-0.013874768165005658,0.058433165008310306,-0.23744680205209492
74t7kcdgkr,c8-12t,74t7kcdgkr,o3_a5_ridge,0.25,0.023733147980479208,0.0015713424973842205,0.02530449047786343,0.06209737748953466
74t7kcdgkr,c8-12t,74t7kcdgkr,observed_uncertainty,0.0625,0.017233641764439755,0.01566197142196535,0.032895613186405104,0.476111247211468
74t7kcdgkr,c8-12t,74t7kcdgkr,observed_uncertainty,0.09375,0.03061556238416141,0.016203426625594375,0.046818989009755785,0.3460866406623609
74t7kcdgkr,c8-12t,74t7kcdgkr,observed_uncertainty,0.125,0.05807830177819928,-0.0029987299858282856,0.055079571792370996,-0.05444359656847652
74t7kcdgkr,c8-12t,74t7kcdgkr,observed_uncertainty,0.1875,0.054543104992999525,0.003890060015310781,0.058433165008310306,0.06657281040240659
74t7kcdgkr,c8-12t,74t7kcdgkr,observed_uncertainty,0.25,0.021442146049044264,0.0038623444288191644,0.02530449047786343,0.15263474410591174
74t7kcdgkr,c8-12t,74t7kcdgkr,random_median,0.0625,0.029848489044122906,0.003047124142282198,0.032895613186405104,0.09263010617906631
74t7kcdgkr,c8-12t,74t7kcdgkr,random_median,0.09375,0.04443700296539316,0.0023819860443626273,0.046818989009755785,0.05087649466045256
74t7kcdgkr,c8-12t,74t7kcdgkr,random_median,0.125,0.05590388807664609,-0.0008243162842750951,0.055079571792370996,-0.014965916717407563
74t7kcdgkr,c8-12t,74t7kcdgkr,random_median,0.1875,0.05911544370728178,-0.0006822786989714724,0.058433165008310306,-0.011676223577388619
74t7kcdgkr,c8-12t,74t7kcdgkr,random_median,0.25,0.02179216611895385,0.00351232435890958,0.02530449047786343,0.13880241382383057
74t7kcdgkr,c8-13,74t7kcdgkr,global_mechanical,0.0625,0.02928735403239935,-0.003491589677842577,0.02579576435455677,-0.13535515481733706
74t7kcdgkr,c8-13,74t7kcdgkr,global_mechanical,0.09375,0.05170537201000214,-0.006053543901082592,0.045651828108919545,-0.13260244226451554
74t7kcdgkr,c8-13,74t7kcdgkr,global_mechanical,0.125,0.05530958385136586,0.0032963958102035784,0.05860597966156944,0.056246748697644795
74t7kcdgkr,c8-13,74t7kcdgkr,global_mechanical,0.1875,0.049270265593004625,0.012689294448631427,0.06195956004163605,0.20479962156129547
74t7kcdgkr,c8-13,74t7kcdgkr,global_mechanical,0.25,0.0,0.022946965771439398,0.022946965771439398,1.0
74t7kcdgkr,c8-13,74t7kcdgkr,o1_candidate_mlp_huber,0.0625,0.0259691946675904,-0.000173430313033629,0.02579576435455677,-0.006723208921041057
74t7kcdgkr,c8-13,74t7kcdgkr,o1_candidate_mlp_huber,0.09375,0.036844594834488986,0.00880723327443056,0.045651828108919545,0.19292180925192312
74t7kcdgkr,c8-13,74t7kcdgkr,o1_candidate_mlp_huber,0.125,0.04482934638722991,0.013776633274339534,0.05860597966156944,0.23507214372825316
74t7kcdgkr,c8-13,74t7kcdgkr,o1_candidate_mlp_huber,0.1875,0.047025521954409344,0.014934038087226709,0.06195956004163605,0.24102879486541257
74t7kcdgkr,c8-13,74t7kcdgkr,o1_candidate_mlp_huber,0.25,0.0,0.022946965771439398,0.022946965771439398,1.0
74t7kcdgkr,c8-13,74t7kcdgkr,o1_candidate_ridge,0.0625,0.0276695020101706,-0.0018737376556138274,0.02579576435455677,-0.07263741557954011
74t7kcdgkr,c8-13,74t7kcdgkr,o1_candidate_ridge,0.09375,0.04730623321671901,-0.0016544051077994615,0.045651828108919545,-0.03623962448671843
74t7kcdgkr,c8-13,74t7kcdgkr,o1_candidate_ridge,0.125,0.055907841370321565,0.0026981382912478757,0.05860597966156944,0.04603861767738976
74t7kcdgkr,c8-13,74t7kcdgkr,o1_candidate_ridge,0.1875,0.040297370381614295,0.021662189660021758,0.06195956004163605,0.3496181968604205
74t7kcdgkr,c8-13,74t7kcdgkr,o1_candidate_ridge,0.25,0.0,0.022946965771439398,0.022946965771439398,1.0
74t7kcdgkr,c8-13,74t7kcdgkr,o2_global_candidate,0.0625,0.04691472319126477,-0.021118958836708,0.02579576435455677,-0.818698703648895
74t7kcdgkr,c8-13,74t7kcdgkr,o2_global_candidate,0.09375,0.0619715043189385,-0.016319676210018952,0.045651828108919545,-0.357481329577476
74t7kcdgkr,c8-13,74t7kcdgkr,o2_global_candidate,0.125,0.05660361540751446,0.002002364254054978,0.05860597966156944,0.034166552041583184
