initial_checkpoint,current_checkpoint,metric,statistical_unit,contrast,left_source,right_source,estimate,bootstrap_mean,ci95_lower,ci95_upper,fraction_above_zero,bootstrap_replicates,seed
0.03125,0.09375,mean_absolute_value_shift,physical_specimen_within_domain,teacher,teacher,zero,0.002259102444501197,0.002259002813345881,0.0021474877826428256,0.0023738778886773053,1,5000,20250826
0.03125,0.09375,rank_spearman,physical_specimen_within_domain,positions_only,positions_only,zero,0.9865176153401648,0.986512374170545,0.9849635446484911,0.9877001466994759,1,5000,20250826
0.03125,0.09375,rank_spearman,physical_specimen_within_domain,real,real,zero,0.9865786264879396,0.986572988742842,0.9859984317002725,0.9871256143753842,1,5000,20250826
0.03125,0.09375,rank_spearman,physical_specimen_within_domain,real_minus_positions_only,real,positions_only,0.00006101114777479211,0.000060614572296948776,-0.0012403658881001895,0.001617473375216275,0.5052,5000,20250826
0.03125,0.09375,rank_spearman,physical_specimen_within_domain,real_minus_shuffled,real,shuffled,0.0069829915803909515,0.006965748669451807,0.005190270432072164,0.008730716864197881,1,5000,20250826
0.03125,0.09375,rank_spearman,physical_specimen_within_domain,real_minus_static,real,static,0.007504797044636247,0.007491677537940828,0.006467802189437563,0.008549123766398986,1,5000,20250826
0.03125,0.09375,rank_spearman,physical_specimen_within_domain,shuffled,shuffled,zero,0.9795956349075486,0.9796072400733903,0.9779726266770499,0.9812942897912681,1,5000,20250826
0.03125,0.09375,rank_spearman,physical_specimen_within_domain,static,static,zero,0.9790738294433033,0.9790813112049013,0.9782299055249242,0.9798705686858038,1,5000,20250826
0.03125,0.09375,rank_spearman,physical_specimen_within_domain,teacher,teacher,zero,0.49650604066001125,0.49643517702497647,0.4590166264287284,0.5331828922466035,1,5000,20250826
0.03125,0.09375,top_k_jaccard,physical_specimen_within_domain,positions_only,positions_only,zero,0.8729695560648908,0.8730390796964026,0.8602132738320863,0.8853879329030538,1,5000,20250826
0.03125,0.09375,top_k_jaccard,physical_specimen_within_domain,real,real,zero,0.8730881329243613,0.8730872962647701,0.859799501825189,0.886044994334019,1,5000,20250826
0.03125,0.09375,top_k_jaccard,physical_specimen_within_domain,real_minus_positions_only,real,positions_only,0.00011857685947047614,0.000048216568367572666,-0.017252816281821726,0.017661371656957744,0.5004,5000,20250826
0.03125,0.09375,top_k_jaccard,physical_specimen_within_domain,real_minus_shuffled,real,shuffled,0.025933427494283956,0.02591804980205356,0.008380356618383608,0.04358050507218613,0.9976,5000,20250826
0.03125,0.09375,top_k_jaccard,physical_specimen_within_domain,real_minus_static,real,static,0.013653098325080992,0.013629553080220092,0.0012986874631656937,0.025729337895916894,0.9836,5000,20250826
0.03125,0.09375,top_k_jaccard,physical_specimen_within_domain,shuffled,shuffled,zero,0.8471547054300773,0.8471692464627165,0.8362848175149105,0.8577937974548479,1,5000,20250826
0.03125,0.09375,top_k_jaccard,physical_specimen_within_domain,static,static,zero,0.8594350345992803,0.85945774318455,0.8497901177372464,0.8687627210487369,1,5000,20250826
0.03125,0.09375,top_k_jaccard,physical_specimen_within_domain,teacher,teacher,zero,0.3283885082165597,0.32840187357633066,0.31261651981371674,0.3439234552683217,1,5000,20250826
0.03125,0.125,best_action_turnover,physical_specimen_within_domain,positions_only,positions_only,zero,0.17646882094400182,0.1763447463187503,0.15555612606730648,0.19763421007079082,1,5000,20250826
0.03125,0.125,best_action_turnover,physical_specimen_within_domain,real,real,zero,0.17053506610342137,0.1707834962388923,0.1474147064861069,0.19518166648970975,1,5000,20250826
0.03125,0.125,best_action_turnover,physical_specimen_within_domain,real_minus_positions_only,real,positions_only,-0.005933754840580452,-0.005561250079858001,-0.03665862876325405,0.02560538918778702,0.3616,5000,20250826
0.03125,0.125,best_action_turnover,physical_specimen_within_domain,real_minus_shuffled,real,shuffled,-0.09784182286901441,-0.09743524311949861,-0.12475029200642684,-0.0698532928985501,0,5000,20250826
0.03125,0.125,best_action_turnover,physical_specimen_within_domain,real_minus_static,real,static,-0.007254577591189693,-0.006979512679534662,-0.042954711441058606,0.029752131680629,0.3592,5000,20250826
0.03125,0.125,best_action_turnover,physical_specimen_within_domain,shuffled,shuffled,zero,0.2683768889724358,0.26821873935839097,0.2487268948150733,0.2890929410378622,1,5000,20250826
0.03125,0.125,best_action_turnover,physical_specimen_within_domain,static,static,zero,0.17778964369461106,0.17776300891842697,0.15419050984914842,0.20111040798748436,1,5000,20250826
0.03125,0.125,best_action_turnover,physical_specimen_within_domain,teacher,teacher,zero,0.6943607526615402,0.6944577161437546,0.6670392609281587,0.7224183616783575,1,5000,20250826
0.03125,0.125,dynamic_vs_initial_opportunity,physical_specimen_within_domain,positions_only,positions_only,zero,0.0000404724372536528,0.00004007547407449641,-0.00011881338056307926,0.00022300117784121128,0.661,5000,20250826
0.03125,0.125,dynamic_vs_initial_opportunity,physical_specimen_within_domain,real,real,zero,0.00001288784740462037,0.000013599474857526823,-0.00007069683760328065,0.00009878734104712403,0.6184,5000,20250826
0.03125,0.125,dynamic_vs_initial_opportunity,physical_specimen_within_domain,real_minus_positions_only,real,positions_only,-0.00002758458984903243,-0.000026475999216969593,-0.00022131587163530512,0.00014983380902431232,0.403,5000,20250826
