outer_domain,domain_id,initial_checkpoint,current_checkpoint,value_source,specimen_count,trajectory_count,state_pair_count,common_candidate_count,rank_spearman,top_k_jaccard,best_action_turnover,mean_absolute_value_shift,dynamic_vs_initial_opportunity,top_k
xcmzfsbd9t,xcmzfsbd9t,0.03125,0.1875,real,59,295,295,32.010169491525424,0.9716501524961351,0.7909604519774011,0.552542372881356,0.0027132514203160427,-0.00019770065641552787,5
xcmzfsbd9t,xcmzfsbd9t,0.03125,0.1875,shuffled,59,295,295,32.010169491525424,0.9596886341684352,0.8033898305084746,0.16610169491525426,0.0014240176212195965,-0.000015710122849866473,5
xcmzfsbd9t,xcmzfsbd9t,0.03125,0.1875,static,59,295,295,32.010169491525424,0.9259383970998374,0.6953860640301318,0.09152542372881356,0.0018936740988837852,0.00000012242208311285414,5
xcmzfsbd9t,xcmzfsbd9t,0.03125,0.1875,teacher,59,295,295,32.010169491525424,0.26596498726013323,0.25797686306160883,0.7864406779661016,0.004249896419170581,0.008952184360107493,5
yfxyg8jm46,yfxyg8jm46,0.03125,0.0625,positions_only,42,210,210,54.357142857142854,0.9976230114971687,0.9777777777777776,0.023809523809523808,0.0016883142812223512,0.00005802480967905862,5
yfxyg8jm46,yfxyg8jm46,0.03125,0.0625,real,42,210,210,54.357142857142854,0.9945699337676036,0.861904761904762,0.028571428571428574,0.0009020643337253145,0.00003892855907364503,5
yfxyg8jm46,yfxyg8jm46,0.03125,0.0625,shuffled,42,210,210,54.357142857142854,0.9925729169680605,0.8528344671201813,0.18095238095238095,0.001567257229913542,-0.00008211649943290173,5
yfxyg8jm46,yfxyg8jm46,0.03125,0.0625,static,42,210,210,54.357142857142854,0.9948466471297702,0.7049886621315192,0.24285714285714283,0.0017119379671725536,0.00028069125527404063,5
yfxyg8jm46,yfxyg8jm46,0.03125,0.0625,teacher,42,210,210,54.357142857142854,0.6623130432626853,0.3999811035525321,0.6142857142857143,0.0018909684948456395,0.003994321360693347,5
yfxyg8jm46,yfxyg8jm46,0.03125,0.09375,positions_only,42,210,210,48.46666666666666,0.9946652033456752,0.9555555555555555,0.05238095238095238,0.002967891629122382,0.00009844651165380575,5
yfxyg8jm46,yfxyg8jm46,0.03125,0.09375,real,42,210,210,48.46666666666666,0.9899454532107272,0.8036281179138323,0.1285714285714286,0.001527739558195434,-0.00007325709425573137,5
