dataset_id,grid_sha256,level0_budget,level0_count,level0_matches_mva,level1_budget,level1_count,level1_matches_mva,level2_budget,level2_count,level2_is_full_raster,native_height,native_width,specimen_id,zero_budget,zero_count,zero_state_sha256
cgtnjyggtm,9b013907df821ccaa85bcaa795167259a3371598ae902970065976d0b1ac5fed,0.015509396636993076,7056,True,0.25037037037037035,113906,True,1.0,454950,True,674,675,q24-19,0.0,0,a917262541aadb2965a2fc802030f963fa0cac3e5459e0d5d8550d55fe80b2ce
cgtnjyggtm,9b013907df821ccaa85bcaa795167259a3371598ae902970065976d0b1ac5fed,0.015509396636993076,7056,True,0.25037037037037035,113906,True,1.0,454950,True,674,675,q24-20,0.0,0,a917262541aadb2965a2fc802030f963fa0cac3e5459e0d5d8550d55fe80b2ce
cgtnjyggtm,9b013907df821ccaa85bcaa795167259a3371598ae902970065976d0b1ac5fed,0.015509396636993076,7056,True,0.25037037037037035,113906,True,1.0,454950,True,674,675,q24-21,0.0,0,a917262541aadb2965a2fc802030f963fa0cac3e5459e0d5d8550d55fe80b2ce
cgtnjyggtm,9b013907df821ccaa85bcaa795167259a3371598ae902970065976d0b1ac5fed,0.015509396636993076,7056,True,0.25037037037037035,113906,True,1.0,454950,True,674,675,q24-22,0.0,0,a917262541aadb2965a2fc802030f963fa0cac3e5459e0d5d8550d55fe80b2ce
cgtnjyggtm,9b013907df821ccaa85bcaa795167259a3371598ae902970065976d0b1ac5fed,0.015509396636993076,7056,True,0.25037037037037035,113906,True,1.0,454950,True,674,675,q24-23,0.0,0,a917262541aadb2965a2fc802030f963fa0cac3e5459e0d5d8550d55fe80b2ce
cgtnjyggtm,9b013907df821ccaa85bcaa795167259a3371598ae902970065976d0b1ac5fed,0.015509396636993076,7056,True,0.25037037037037035,113906,True,1.0,454950,True,674,675,q24-24,0.0,0,a917262541aadb2965a2fc802030f963fa0cac3e5459e0d5d8550d55fe80b2ce
cgtnjyggtm,9b013907df821ccaa85bcaa795167259a3371598ae902970065976d0b1ac5fed,0.015509396636993076,7056,True,0.25037037037037035,113906,True,1.0,454950,True,674,675,q24-25,0.0,0,a917262541aadb2965a2fc802030f963fa0cac3e5459e0d5d8550d55fe80b2ce
cgtnjyggtm,9b013907df821ccaa85bcaa795167259a3371598ae902970065976d0b1ac5fed,0.015509396636993076,7056,True,0.25037037037037035,113906,True,1.0,454950,True,674,675,q24-26,0.0,0,a917262541aadb2965a2fc802030f963fa0cac3e5459e0d5d8550d55fe80b2ce
cgtnjyggtm,9b013907df821ccaa85bcaa795167259a3371598ae902970065976d0b1ac5fed,0.015509396636993076,7056,True,0.25037037037037035,113906,True,1.0,454950,True,674,675,q24-27,0.0,0,a917262541aadb2965a2fc802030f963fa0cac3e5459e0d5d8550d55fe80b2ce
cgtnjyggtm,9b013907df821ccaa85bcaa795167259a3371598ae902970065976d0b1ac5fed,0.015509396636993076,7056,True,0.25037037037037035,113906,True,1.0,454950,True,674,675,q24-28,0.0,0,a917262541aadb2965a2fc802030f963fa0cac3e5459e0d5d8550d55fe80b2ce
cgtnjyggtm,9b013907df821ccaa85bcaa795167259a3371598ae902970065976d0b1ac5fed,0.015509396636993076,7056,True,0.25037037037037035,113906,True,1.0,454950,True,674,675,q24-29,0.0,0,a917262541aadb2965a2fc802030f963fa0cac3e5459e0d5d8550d55fe80b2ce
cgtnjyggtm,9b013907df821ccaa85bcaa795167259a3371598ae902970065976d0b1ac5fed,0.015509396636993076,7056,True,0.25037037037037035,113906,True,1.0,454950,True,674,675,q24-30,0.0,0,a917262541aadb2965a2fc802030f963fa0cac3e5459e0d5d8550d55fe80b2ce
cgtnjyggtm,9b013907df821ccaa85bcaa795167259a3371598ae902970065976d0b1ac5fed,0.015509396636993076,7056,True,0.25037037037037035,113906,True,1.0,454950,True,674,675,q24-31,0.0,0,a917262541aadb2965a2fc802030f963fa0cac3e5459e0d5d8550d55fe80b2ce
cgtnjyggtm,9b013907df821ccaa85bcaa795167259a3371598ae902970065976d0b1ac5fed,0.015509396636993076,7056,True,0.25037037037037035,113906,True,1.0,454950,True,674,675,q24-32,0.0,0,a917262541aadb2965a2fc802030f963fa0cac3e5459e0d5d8550d55fe80b2ce
cgtnjyggtm,9b013907df821ccaa85bcaa795167259a3371598ae902970065976d0b1ac5fed,0.015509396636993076,7056,True,0.25037037037037035,113906,True,1.0,454950,True,674,675,q24-33,0.0,0,a917262541aadb2965a2fc802030f963fa0cac3e5459e0d5d8550d55fe80b2ce
cgtnjyggtm,9b013907df821ccaa85bcaa795167259a3371598ae902970065976d0b1ac5fed,0.015509396636993076,7056,True,0.25037037037037035,113906,True,1.0,454950,True,674,675,q24-34,0.0,0,a917262541aadb2965a2fc802030f963fa0cac3e5459e0d5d8550d55fe80b2ce
cgtnjyggtm,9b013907df821ccaa85bcaa795167259a3371598ae902970065976d0b1ac5fed,0.015509396636993076,7056,True,0.25037037037037035,113906,True,1.0,454950,True,674,675,q24-35,0.0,0,a917262541aadb2965a2fc802030f963fa0cac3e5459e0d5d8550d55fe80b2ce
cgtnjyggtm,9b013907df821ccaa85bcaa795167259a3371598ae902970065976d0b1ac5fed,0.015509396636993076,7056,True,0.25037037037037035,113906,True,1.0,454950,True,674,675,q24-36,0.0,0,a917262541aadb2965a2fc802030f963fa0cac3e5459e0d5d8550d55fe80b2ce
cgtnjyggtm,9b013907df821ccaa85bcaa795167259a3371598ae902970065976d0b1ac5fed,0.015509396636993076,7056,True,0.25037037037037035,113906,True,1.0,454950,True,674,675,q24-37,0.0,0,a917262541aadb2965a2fc802030f963fa0cac3e5459e0d5d8550d55fe80b2ce
cgtnjyggtm,9b013907df821ccaa85bcaa795167259a3371598ae902970065976d0b1ac5fed,0.015509396636993076,7056,True,0.25037037037037035,113906,True,1.0,454950,True,674,675,q24-38,0.0,0,a917262541aadb2965a2fc802030f963fa0cac3e5459e0d5d8550d55fe80b2ce
cgtnjyggtm,9b013907df821ccaa85bcaa795167259a3371598ae902970065976d0b1ac5fed,0.015509396636993076,7056,True,0.25037037037037035,113906,True,1.0,454950,True,674,675,q24-39,0.0,0,a917262541aadb2965a2fc802030f963fa0cac3e5459e0d5d8550d55fe80b2ce
