specimen_key,dataset_id,capture_group_id,method,run,seed_panel,training_seed,checkpoint_update,actor_state_dict_sha256,source_row,source,states,action_count,final_cost,native_pixels,target_mpa
cgtnjyggtm:q24-30,cgtnjyggtm,cg_d3f7feef05d5a66a,GEOMETRY_SPREAD,0,0,0,0,FIXED_ORDER,62,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,17,16,0.24999890097812943,454950,283.3366394042969
cgtnjyggtm:q24-44,cgtnjyggtm,cg_9ba3cd5fb00ea91f,GEOMETRY_SPREAD,0,0,0,0,FIXED_ORDER,63,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,17,16,0.24999890097812943,454950,109.75041198730469
cgtnjyggtm:q24-47,cgtnjyggtm,cg_523711040788bde2,GEOMETRY_SPREAD,0,0,0,0,FIXED_ORDER,64,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,17,16,0.24999890097812943,454950,119.86738586425781
cgtnjyggtm:q24-48,cgtnjyggtm,cg_5549ad4618fa66a9,GEOMETRY_SPREAD,0,0,0,0,FIXED_ORDER,65,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,17,16,0.24999890097812943,454950,136.6800079345703
cgtnjyggtm:q24-6,cgtnjyggtm,cg_344fc945dcb88757,GEOMETRY_SPREAD,0,0,0,0,FIXED_ORDER,66,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,17,16,0.24999890097812943,454950,348.28472900390625
cgtnjyggtm:q24-9,cgtnjyggtm,cg_2cc9cac1c5baaf14,GEOMETRY_SPREAD,0,0,0,0,FIXED_ORDER,67,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,17,16,0.24999890097812943,454950,262.2107238769531
w68dtmpfyf:q16-14,w68dtmpfyf,cg_73ef27ab04a735de,GEOMETRY_SPREAD,0,0,0,0,FIXED_ORDER,68,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,17,16,0.24999890097812943,454950,404.2454528808594
w68dtmpfyf:q16-2,w68dtmpfyf,cg_ff2d01cab2de3ddc,GEOMETRY_SPREAD,0,0,0,0,FIXED_ORDER,69,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,17,16,0.24999890097812943,454950,304.9983215332031
w68dtmpfyf:q16-29,w68dtmpfyf,cg_94a031a5fc453cba,GEOMETRY_SPREAD,0,0,0,0,FIXED_ORDER,70,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,17,16,0.24999890097812943,454950,338.54833984375
w68dtmpfyf:q16-3,w68dtmpfyf,cg_3361913654df8b27,GEOMETRY_SPREAD,0,0,0,0,FIXED_ORDER,71,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,17,16,0.24999890097812943,454950,352.2940673828125
w68dtmpfyf:q16-33,w68dtmpfyf,cg_a37eab4f5b7beb12,GEOMETRY_SPREAD,0,0,0,0,FIXED_ORDER,72,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,17,16,0.24999890097812943,454950,257.2702331542969
w68dtmpfyf:q16-38,w68dtmpfyf,cg_a052ba6f5200ee4f,GEOMETRY_SPREAD,0,0,0,0,FIXED_ORDER,73,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,17,16,0.24999890097812943,454950,344.6358337402344
w68dtmpfyf:q16-43,w68dtmpfyf,cg_6853c8e74a68016b,GEOMETRY_SPREAD,0,0,0,0,FIXED_ORDER,74,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,17,16,0.24999890097812943,454950,302.281982421875
w68dtmpfyf:q16-6,w68dtmpfyf,cg_ce4d6a48a6968060,GEOMETRY_SPREAD,0,0,0,0,FIXED_ORDER,75,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,17,16,0.24999890097812943,454950,418.267333984375
xcmzfsbd9t:c24-37,xcmzfsbd9t,cg_a01963fde121eda0,GEOMETRY_SPREAD,0,0,0,0,FIXED_ORDER,76,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,17,16,0.24999890097812943,454950,381.1910705566406
xcmzfsbd9t:c24-39,xcmzfsbd9t,cg_d72ecf3171227da2,GEOMETRY_SPREAD,0,0,0,0,FIXED_ORDER,77,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,17,16,0.24999890097812943,454950,246.54722595214844
xcmzfsbd9t:c24-42,xcmzfsbd9t,cg_a5c5defb812088ae,GEOMETRY_SPREAD,0,0,0,0,FIXED_ORDER,78,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,17,16,0.24999890097812943,454950,301.55389404296875
xcmzfsbd9t:c24-47,xcmzfsbd9t,cg_954e3ed61c8db0a4,GEOMETRY_SPREAD,0,0,0,0,FIXED_ORDER,79,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,17,16,0.24999890097812943,454950,480.5938415527344
xcmzfsbd9t:c24-50,xcmzfsbd9t,cg_59e95410b683945f,GEOMETRY_SPREAD,0,0,0,0,FIXED_ORDER,80,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,17,16,0.24999890097812943,454950,292.1376647949219
xcmzfsbd9t:c24-51,xcmzfsbd9t,cg_7e1c8f7865d73e78,GEOMETRY_SPREAD,0,0,0,0,FIXED_ORDER,81,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,17,16,0.24999890097812943,454950,263.2923583984375
xcmzfsbd9t:c24-52,xcmzfsbd9t,cg_b98b3f9ca1bfb997,GEOMETRY_SPREAD,0,0,0,0,FIXED_ORDER,82,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,17,16,0.24999890097812943,454950,252.29762268066406
xcmzfsbd9t:c24-56,xcmzfsbd9t,cg_06ec34425b30c2e6,GEOMETRY_SPREAD,0,0,0,0,FIXED_ORDER,83,results/cai_agent_v3/w3_pilot/r1_0e11452a/policy_validation_episodes.csv.gz,17,16,0.24999890097812943,454950,230.2566680908203
