comparator,specimen_key,dataset_id,capture_group_id,area_gain,early_area_gain
SERPENTINE,xcmzfsbd9t:c24-51,xcmzfsbd9t,cg_7e1c8f7865d73e78,16.20780556631503,31.924968481201148
SERPENTINE,xcmzfsbd9t:c24-52,xcmzfsbd9t,cg_b98b3f9ca1bfb997,-23.512744641704884,-26.121915630135575
SERPENTINE,xcmzfsbd9t:c24-56,xcmzfsbd9t,cg_06ec34425b30c2e6,-15.27257009705577,-17.127508091937585
SERPENTINE,xcmzfsbd9t:c24-9t,xcmzfsbd9t,cg_0d1994d0164384d4,1.5194194331107767,-1.8943152984407874
SERPENTINE,yfxyg8jm46:c16-12,yfxyg8jm46,cg_5a80e5179694ff19,1.7986702816061069,9.739111617704921
SERPENTINE,yfxyg8jm46:c16-14,yfxyg8jm46,cg_efd8928c6d17de81,4.202517760365144,-26.922634513998354
SERPENTINE,yfxyg8jm46:c16-16,yfxyg8jm46,cg_cd055af98e2ea119,6.098427401931616,14.823870961094627
SERPENTINE,yfxyg8jm46:c16-17,yfxyg8jm46,cg_f64812b6759e7d2b,9.536047715445854,-2.9345984904977627
SERPENTINE,yfxyg8jm46:c16-24,yfxyg8jm46,cg_354aea2e84731e86,15.295233021480527,17.92386912380158
SERPENTINE,yfxyg8jm46:c16-39,yfxyg8jm46,cg_514ca9d914207c05,13.587294158516304,16.059294474243607
SERPENTINE,yfxyg8jm46:c16-42,yfxyg8jm46,cg_cb9c6f640f08aee7,8.65706675416179,10.749758084049091
SERPENTINE,yfxyg8jm46:c16-5,yfxyg8jm46,cg_7f9fe4a18a151cd4,23.91443656561676,19.45362972391583
SERPENTINE,ykhs7s2dck:q8-15,ykhs7s2dck,cg_60c6812942ba2332,-2.8844646557410556,-16.866637209875396
SERPENTINE,ykhs7s2dck:q8-2,ykhs7s2dck,cg_93e604617899fa5f,2.4901626745555845,4.724341041069398
SERPENTINE,ykhs7s2dck:q8-22,ykhs7s2dck,cg_ca08b9786e924e66,-20.093443781543215,-23.27264535925941
SERPENTINE,ykhs7s2dck:q8-33,ykhs7s2dck,cg_a841812423416444,-6.676934557004032,0.09280351074701798
SERPENTINE,ykhs7s2dck:q8-34,ykhs7s2dck,cg_f28b9720dbc7e026,0.3442076791523707,5.246853849597782
SERPENTINE,ykhs7s2dck:q8-37,ykhs7s2dck,cg_a064df3d047f4519,14.975699868986716,16.55234156899432
SERPENTINE,ykhs7s2dck:q8-8,ykhs7s2dck,cg_8fd87d72a8d71b83,-6.296595670685608,-6.357355338630217
RANDOM,74t7kcdgkr:c8-12,74t7kcdgkr,cg_306e4a499acc46c1,0.5043227968836668,11.181447912814354
RANDOM,74t7kcdgkr:c8-13,74t7kcdgkr,cg_f6941b7d17a6b65f,-14.646756785970695,-13.638568406707535
RANDOM,74t7kcdgkr:c8-16,74t7kcdgkr,cg_f6941b7d17a6b65f,5.7875185317541735,-9.59449042145317
RANDOM,74t7kcdgkr:c8-2,74t7kcdgkr,cg_8ffe4fd6a878d7f3,24.80079919652411,41.96604417683395
RANDOM,74t7kcdgkr:c8-21,74t7kcdgkr,cg_49d6f1237b716b24,14.072378031996347,10.07306143846186
RANDOM,74t7kcdgkr:c8-28,74t7kcdgkr,cg_a983245f10699099,-5.806989318317729,3.636679074907999
RANDOM,74t7kcdgkr:c8-3,74t7kcdgkr,cg_8ffe4fd6a878d7f3,-1.3500122296034238,-3.2583692200790484
RANDOM,74t7kcdgkr:c8-39,74t7kcdgkr,cg_ff43edde8af2ccdb,-22.501227792862508,-20.544335221660056
RANDOM,74t7kcdgkr:c8-43,74t7kcdgkr,cg_a37dc8a00cc334eb,-14.81598798564639,-10.075547684535863
RANDOM,cgtnjyggtm:q24-11,cgtnjyggtm,cg_02fd3fc8caefe377,38.76786016830275,25.113503998617738
RANDOM,cgtnjyggtm:q24-22,cgtnjyggtm,cg_54890e18ff2b2669,23.55355315753596,27.0014507964608
RANDOM,cgtnjyggtm:q24-24,cgtnjyggtm,cg_39bf4ddc679c9a42,8.479796481139118,3.9731494435772845
RANDOM,cgtnjyggtm:q24-30,cgtnjyggtm,cg_d3f7feef05d5a66a,11.583387548570538,7.0326405488117025
RANDOM,cgtnjyggtm:q24-44,cgtnjyggtm,cg_9ba3cd5fb00ea91f,0.4492675907626875,-17.213919267278158
RANDOM,cgtnjyggtm:q24-47,cgtnjyggtm,cg_523711040788bde2,1.349964345192248,3.2116763083028985
RANDOM,cgtnjyggtm:q24-48,cgtnjyggtm,cg_5549ad4618fa66a9,9.14124102404206,17.722934010981206
RANDOM,cgtnjyggtm:q24-6,cgtnjyggtm,cg_344fc945dcb88757,11.608946364459264,10.348325005747334
RANDOM,cgtnjyggtm:q24-9,cgtnjyggtm,cg_2cc9cac1c5baaf14,26.203118003810832,34.05147908059092
RANDOM,w68dtmpfyf:q16-14,w68dtmpfyf,cg_73ef27ab04a735de,10.778574046947341,3.990124344262796
RANDOM,w68dtmpfyf:q16-2,w68dtmpfyf,cg_ff2d01cab2de3ddc,-9.211142600636691,-9.018567358288422
RANDOM,w68dtmpfyf:q16-29,w68dtmpfyf,cg_94a031a5fc453cba,-3.129926734951985,14.048281668894765
RANDOM,w68dtmpfyf:q16-3,w68dtmpfyf,cg_3361913654df8b27,20.515420790628188,-18.61871855227801
RANDOM,w68dtmpfyf:q16-33,w68dtmpfyf,cg_a37eab4f5b7beb12,1.3488743710943938,1.4981532057952816
RANDOM,w68dtmpfyf:q16-38,w68dtmpfyf,cg_a052ba6f5200ee4f,7.818369409048216,15.200239698548188
RANDOM,w68dtmpfyf:q16-43,w68dtmpfyf,cg_6853c8e74a68016b,-11.55365413253152,-16.555134512737283
RANDOM,w68dtmpfyf:q16-6,w68dtmpfyf,cg_ce4d6a48a6968060,6.785098944729725,14.545881260373093
RANDOM,xcmzfsbd9t:c24-37,xcmzfsbd9t,cg_a01963fde121eda0,6.043867897276002,-20.764853244357653
RANDOM,xcmzfsbd9t:c24-39,xcmzfsbd9t,cg_d72ecf3171227da2,1.995940626228883,4.0760345708518155
