comparator,budget,specimen_key,dataset_id,capture_group_id,main_abs_error,control_abs_error,gain_mpa
CENTER_FIRST,0.125,cgtnjyggtm:q24-9,cgtnjyggtm,cg_2cc9cac1c5baaf14,23.742584228515625,16.659088134765625,-7.08349609375
CENTER_FIRST,0.125,w68dtmpfyf:q16-14,w68dtmpfyf,cg_73ef27ab04a735de,47.938262939453125,50.569244384765625,2.6309814453125
CENTER_FIRST,0.125,w68dtmpfyf:q16-2,w68dtmpfyf,cg_ff2d01cab2de3ddc,89.93881225585938,78.6405029296875,-11.298309326171875
CENTER_FIRST,0.125,w68dtmpfyf:q16-29,w68dtmpfyf,cg_94a031a5fc453cba,11.867462158203125,2.7420654296875,-9.125396728515625
CENTER_FIRST,0.125,w68dtmpfyf:q16-3,w68dtmpfyf,cg_3361913654df8b27,2.159698486328125,15.399749755859375,13.24005126953125
CENTER_FIRST,0.125,w68dtmpfyf:q16-33,w68dtmpfyf,cg_a37eab4f5b7beb12,4.957183837890625,0.504974365234375,-4.45220947265625
CENTER_FIRST,0.125,w68dtmpfyf:q16-38,w68dtmpfyf,cg_a052ba6f5200ee4f,62.883453369140625,48.172760009765625,-14.710693359375
CENTER_FIRST,0.125,w68dtmpfyf:q16-43,w68dtmpfyf,cg_6853c8e74a68016b,25.21759033203125,20.18212890625,-5.03546142578125
CENTER_FIRST,0.125,w68dtmpfyf:q16-6,w68dtmpfyf,cg_ce4d6a48a6968060,99.71835327148438,104.2996826171875,4.581329345703125
CENTER_FIRST,0.125,xcmzfsbd9t:c24-37,xcmzfsbd9t,cg_a01963fde121eda0,93.0894775390625,133.22537231445312,40.135894775390625
CENTER_FIRST,0.125,xcmzfsbd9t:c24-39,xcmzfsbd9t,cg_d72ecf3171227da2,12.630172729492188,20.866928100585938,8.23675537109375
CENTER_FIRST,0.125,xcmzfsbd9t:c24-42,xcmzfsbd9t,cg_a5c5defb812088ae,2.472900390625,20.422271728515625,17.949371337890625
CENTER_FIRST,0.125,xcmzfsbd9t:c24-47,xcmzfsbd9t,cg_954e3ed61c8db0a4,22.353302001953125,20.163330078125,-2.189971923828125
CENTER_FIRST,0.125,xcmzfsbd9t:c24-50,xcmzfsbd9t,cg_59e95410b683945f,62.36756896972656,58.212158203125,-4.1554107666015625
CENTER_FIRST,0.125,xcmzfsbd9t:c24-51,xcmzfsbd9t,cg_7e1c8f7865d73e78,48.08087158203125,45.843017578125,-2.23785400390625
CENTER_FIRST,0.125,xcmzfsbd9t:c24-52,xcmzfsbd9t,cg_b98b3f9ca1bfb997,121.05723571777344,110.41197204589844,-10.645263671875
CENTER_FIRST,0.125,xcmzfsbd9t:c24-56,xcmzfsbd9t,cg_06ec34425b30c2e6,42.41606140136719,54.03974914550781,11.623687744140625
CENTER_FIRST,0.125,xcmzfsbd9t:c24-9t,xcmzfsbd9t,cg_0d1994d0164384d4,48.99884033203125,49.99737548828125,0.99853515625
CENTER_FIRST,0.125,yfxyg8jm46:c16-12,yfxyg8jm46,cg_5a80e5179694ff19,29.624954223632812,27.923812866210938,-1.701141357421875
CENTER_FIRST,0.125,yfxyg8jm46:c16-14,yfxyg8jm46,cg_efd8928c6d17de81,11.62451171875,13.09613037109375,1.47161865234375
CENTER_FIRST,0.125,yfxyg8jm46:c16-16,yfxyg8jm46,cg_cd055af98e2ea119,99.4239501953125,107.6610107421875,8.237060546875
CENTER_FIRST,0.125,yfxyg8jm46:c16-17,yfxyg8jm46,cg_f64812b6759e7d2b,13.59820556640625,23.0972900390625,9.49908447265625
CENTER_FIRST,0.125,yfxyg8jm46:c16-24,yfxyg8jm46,cg_354aea2e84731e86,128.02969360351562,149.71499633789062,21.685302734375
CENTER_FIRST,0.125,yfxyg8jm46:c16-39,yfxyg8jm46,cg_514ca9d914207c05,12.149200439453125,10.307403564453125,-1.841796875
CENTER_FIRST,0.125,yfxyg8jm46:c16-42,yfxyg8jm46,cg_cb9c6f640f08aee7,74.31062316894531,70.80136108398438,-3.5092620849609375
CENTER_FIRST,0.125,yfxyg8jm46:c16-5,yfxyg8jm46,cg_7f9fe4a18a151cd4,2.9554443359375,4.768798828125,1.8133544921875
CENTER_FIRST,0.125,ykhs7s2dck:q8-15,ykhs7s2dck,cg_60c6812942ba2332,21.195266723632812,35.41046142578125,14.215194702148438
CENTER_FIRST,0.125,ykhs7s2dck:q8-2,ykhs7s2dck,cg_93e604617899fa5f,0.807952880859375,14.67816162109375,13.870208740234375
CENTER_FIRST,0.125,ykhs7s2dck:q8-22,ykhs7s2dck,cg_ca08b9786e924e66,31.330154418945312,5.1463165283203125,-26.183837890625
CENTER_FIRST,0.125,ykhs7s2dck:q8-33,ykhs7s2dck,cg_a841812423416444,15.393218994140625,12.622970581054688,-2.7702484130859375
CENTER_FIRST,0.125,ykhs7s2dck:q8-34,ykhs7s2dck,cg_f28b9720dbc7e026,4.4581756591796875,1.752227783203125,-2.7059478759765625
CENTER_FIRST,0.125,ykhs7s2dck:q8-37,ykhs7s2dck,cg_a064df3d047f4519,25.4586181640625,51.960296630859375,26.501678466796875
CENTER_FIRST,0.125,ykhs7s2dck:q8-8,ykhs7s2dck,cg_8fd87d72a8d71b83,29.661712646484375,32.2069091796875,2.545196533203125
CENTER_FIRST,0.1875,74t7kcdgkr:c8-12,74t7kcdgkr,cg_306e4a499acc46c1,13.322982788085938,20.040115356445312,6.717132568359375
CENTER_FIRST,0.1875,74t7kcdgkr:c8-13,74t7kcdgkr,cg_f6941b7d17a6b65f,104.72677612304688,142.35906982421875,37.632293701171875
CENTER_FIRST,0.1875,74t7kcdgkr:c8-16,74t7kcdgkr,cg_f6941b7d17a6b65f,6.020782470703125,17.534423828125,11.513641357421875
CENTER_FIRST,0.1875,74t7kcdgkr:c8-2,74t7kcdgkr,cg_8ffe4fd6a878d7f3,49.58604431152344,49.90367126464844,0.317626953125
CENTER_FIRST,0.1875,74t7kcdgkr:c8-21,74t7kcdgkr,cg_49d6f1237b716b24,32.866058349609375,34.1531982421875,1.287139892578125
CENTER_FIRST,0.1875,74t7kcdgkr:c8-28,74t7kcdgkr,cg_a983245f10699099,37.737274169921875,37.26873779296875,-0.468536376953125
CENTER_FIRST,0.1875,74t7kcdgkr:c8-3,74t7kcdgkr,cg_8ffe4fd6a878d7f3,6.967987060546875,15.37945556640625,8.411468505859375
CENTER_FIRST,0.1875,74t7kcdgkr:c8-39,74t7kcdgkr,cg_ff43edde8af2ccdb,55.67137145996094,62.00056457519531,6.329193115234375
CENTER_FIRST,0.1875,74t7kcdgkr:c8-43,74t7kcdgkr,cg_a37dc8a00cc334eb,26.1954345703125,30.81005859375,4.6146240234375
